Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.4368811669992283
45.0,0,0,0.35007054200104903
0.0,0,0,0.40085637499578297
90.0,2,0,0.3257675420027226
0.0,2,0,0.34588762499333825
0.0,2,0,0.299974708002992
90.0,2,0,0.41466491599567235
45.0,0,0,0.4777538330090465
0.0,0,0,0.3922806249902351
0.0,2,0,0.40273212500324007
90.0,0,0,0.40103658399311826
45.0,0,0,0.2809563749906374
0.0,2,0,0.3396086670109071
0.0,2,0,0.36416545799875166
0.0,0,0,0.3064647079881979
90.0,2,0,0.4781567919999361
0.0,2,0,0.43671462500060443
45.0,0,0,0.38346716700471006
90.0,0,0,0.3494044999970356
45.0,2,0,0.508384875007323
