Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.5323171250056475
0.0,2,0,0.3317266669910168
90.0,2,0,0.26599195900780614
0.0,2,0,0.3568466669967165
90.0,2,0,0.2532801249908516
0.0,0,0,0.4255303329991875
0.0,2,0,0.37700162499095313
90.0,0,0,0.4977128750033444
0.0,2,0,0.35708941701159347
0.0,0,0,0.3337416669965023
90.0,0,0,0.4225315840012627
0.0,2,0,0.4867095420049736
0.0,0,0,0.340994457990746
0.0,0,0,0.34802045799733605
0.0,2,0,0.5923075830069138
0.0,0,0,0.3324168330000248
90.0,2,0,0.3913417500007199
90.0,2,0,0.3421332909929333
0.0,0,0,0.385018790999311
0.0,0,0,0.3330988750094548
90.0,0,0,0.32746287500776816
0.0,2,0,0.28761924999707844
0.0,0,0,0.39589904199237935
0.0,2,0,0.31150120799429715
90.0,0,0,0.3801897500088671
90.0,2,0,0.355164375010645
0.0,0,0,0.42929012500098906
90.0,0,0,0.2919754169997759
90.0,0,0,0.2991553330066381
0.0,2,0,0.3566513749974547
