Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.4282201000023633
0.0,2,0,0.3399258999997983
0.0,2,0,0.37517790000129025
0.0,2,0,0.41656320000765845
0.0,0,0,0.25552049999532755
0.0,0,0,0.2695426000136649
0.0,0,0,0.39248049999878276
0.0,2,0,0.2917414999974426
0.0,2,0,0.25432849999924656
0.0,2,0,0.3572773000050802
0.0,0,0,0.27811949999886565
0.0,0,0,0.32896460000483785
0.0,2,0,0.29202939999231603
0.0,2,0,0.28253009999752976
0.0,2,0,0.3151246000052197
0.0,0,0,0.25879429999622516
0.0,0,0,0.3082921000022907
0.0,2,0,0.36289669999678154
0.0,0,0,0.25832910000463016
0.0,2,0,0.3764338999899337
0.0,2,0,0.2678810000070371
0.0,0,0,0.30740700000023935
0.0,0,0,0.2584551000036299
0.0,2,0,0.32243600000219885
0.0,0,0,0.2924152000050526
0.0,0,0,0.22557229999802075
0.0,2,0,0.25553119998949114
0.0,0,0,0.25901760000851937
0.0,0,0,0.22914589999709278
0.0,2,0,0.3253908000042429
0.0,2,0,0.308314199995948
0.0,2,0,0.278957000002265
0.0,2,0,0.27890360000310466
0.0,0,0,0.25295829999959096
0.0,0,0,0.2470714999944903
0.0,0,0,0.2606628999928944
0.0,0,0,0.23954920000687707
0.0,0,0,0.23493109999981243
0.0,2,0,0.24697249999735504
0.0,2,0,0.25639520000549965
0.0,2,0,0.23743150000518654
0.0,0,0,0.22418190000462346
0.0,2,0,0.2168695000000298
0.0,0,0,0.2515197999891825
0.0,2,0,0.1685938000009628
0.0,2,0,0.4654196000046795
0.0,0,0,0.33202290000917856
0.0,2,0,0.25341189999016933
0.0,2,0,0.41771230001177173
0.0,2,0,0.2316174999868963
0.0,2,0,0.2439128999976674
0.0,0,0,0.2766526000050362
0.0,0,0,0.2320283000008203
0.0,2,0,0.02869300000020303
0.0,0,0,0.22355239999888
0.0,0,0,0.2149139999964973
0.0,2,0,0.24071620000177063
0.0,0,0,0.26639060000889003
0.0,0,0,0.23360659999889322
0.0,0,0,0.22179690000484698
