ARBC1_01_12_Gabor Reflex Wide
Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.47469485
0.0,2,0,0.18354914
0.0,2,0,0.25378654
0.0,0,0,0.22215777
0.0,2,0,0.11915544
0.0,0,0,0.2213473
0.0,0,0,0.16715955
0.0,2,0,0.14665497
0.0,0,0,0.17791474
0.0,2,0,0.1878003
0.0,0,0,0.14391067
0.0,2,0,0.15442162
0.0,2,0,0.14573454
0.0,0,0,0.17537992
0.0,0,0,0.16762541
0.0,0,0,0.14949521
0.0,2,0,0.14600259
0.0,2,0,0.18810343
0.0,2,0,0.15406208
0.0,0,0,0.1443503
0.0,0,0,0.14825052
0.0,0,0,0.14893207
0.0,2,0,0.15419468
0.0,2,0,0.15074934
0.0,0,0,0.07698552
0.0,2,0,0.12424477
0.0,0,0,0.1562151
0.0,0,0,0.0952641
0.0,0,0,0.07369079
0.0,2,0,0.17992086
0.0,2,0,0.35334467
0.0,2,0,0.12500462
0.0,0,0,0.20748176
0.0,0,0,0.02445218
0.0,2,0,0.17405149
0.0,2,0,0.1708949
0.0,0,0,0.19460142
0.0,0,0,0.09969506
0.0,2,0,0.17445175
0.0,0,0,0.14073986
0.0,0,0,0.16900976
0.0,2,0,0.0989263
0.0,2,0,0.16736776
0.0,2,0,0.15600703
0.0,0,0,0.17523323
0.0,2,0,0.06376521
0.0,0,0,0.16396933
0.0,2,0,0.20714671
0.0,2,0,0.14015637
0.0,0,0,0.20976588
0.0,0,0,0.2084227
0.0,2,0,0.03277305
0.0,2,0,0.09613822
0.0,2,0,0.08224306
0.0,2,0,0.25091819
0.0,0,0,0.22105687
0.0,0,0,0.06134547
0.0,0,0,0.17812949
0.0,2,0,0.01163671
0.0,0,0,0.18928224
