Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.28579383400210645
0.0,0,0,0.21914129199285526
0.0,2,0,0.28122495900606737
0.0,0,0,0.2625781660026405
0.0,0,0,0.20553399999334943
0.0,2,0,0.28180845800670795
0.0,0,0,0.2656368749885587
0.0,2,0,0.25190591599675827
0.0,2,0,0.2243701669940492
0.0,2,0,0.2459372920129681
0.0,2,0,0.20504504199197982
0.0,2,0,0.22303299998748116
0.0,0,0,0.25511650000407826
0.0,0,0,0.2715152079908876
0.0,0,0,0.26434416700794827
0.0,0,0,0.49673387499933597
0.0,2,0,0.3271425840066513
0.0,2,0,0.7554502919956576
0.0,2,0,0.2555711250024615
0.0,2,0,0.49724875000538304
0.0,0,0,0.22307800000999123
0.0,2,0,0.2923702499974752
0.0,0,0,0.19352737499866635
0.0,0,0,0.27590583299752325
0.0,2,0,0.23109425000438932
0.0,0,0,0.2416558749973774
0.0,0,0,0.25838712499535177
0.0,0,0,0.2532206670002779
0.0,0,0,0.28649008300271817
0.0,2,0,0.2318405830010306
0.0,2,0,0.24438287499651778
0.0,0,0,0.2367748329997994
0.0,0,0,0.30852870899252594
0.0,2,0,0.09319041600974742
0.0,0,0,0.24250312500225846
0.0,2,0,0.2451820420101285
0.0,2,0,0.35009541700128466
0.0,0,0,0.2427383330068551
0.0,2,0,0.26898708299268037
0.0,0,0,0.2123094169946853
0.0,2,0,0.26556441700086
0.0,0,0,0.4718179589981446
0.0,0,0,0.2580902920017252
0.0,2,0,0.2371887909976067
0.0,2,0,0.3304474579927046
0.0,2,0,0.4758222079981351
0.0,2,0,0.344457290993887
0.0,0,0,0.42641787500178907
0.0,2,0,0.1624986670067301
0.0,2,0,0.1864928750001127
0.0,2,0,0.37732070799393114
0.0,0,0,0.23951633300748654
0.0,0,0,0.27297062501020264
0.0,0,0,0.2782211669982644
0.0,0,0,0.3223432499944465
0.0,0,0,0.016583791002631187
0.0,2,0,0.2405691250023665
0.0,0,0,0.24031095799000468
0.0,0,0,0.23114599999098573
0.0,2,0,0.21301725000375882
