Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.2571155830000862
0.0,2,0,0.4413049590002629
0.0,2,0,0.3294065000000046
0.0,0,0,0.33312141700025677
0.0,0,0,0.3346182499999486
0.0,2,0,0.3322640000001229
0.0,2,0,0.333843708999666
0.0,0,0,0.3134742910001478
0.0,0,0,0.3091174590003902
0.0,2,0,0.3366970830002174
0.0,0,0,0.26763854199998605
0.0,0,0,0.2617069590000938
0.0,0,0,0.2751284169999053
0.0,2,0,0.2655227909999667
0.0,2,0,0.24481495899999572
0.0,0,0,0.2542081669998879
0.0,2,0,0.34069241599991074
0.0,2,0,0.27772620799987635
0.0,0,0,0.2821080409999013
0.0,2,0,0.2728938330001256
0.0,0,0,0.24994029099980253
0.0,2,0,0.25021512500006793
0.0,0,0,0.25334987499991257
0.0,0,0,0.24396787500018036
0.0,2,0,0.26180845799990493
0.0,0,0,0.2700603749999573
0.0,0,0,0.2515658329998587
0.0,2,0,0.22498320799968496
0.0,2,0,0.24438058399982765
0.0,2,0,0.25870204100010596
0.0,0,0,0.23719220800012408
0.0,2,0,0.2698939160000009
0.0,2,0,0.28719370900034846
0.0,0,0,0.2453568340001766
0.0,2,0,0.22830016700027045
0.0,0,0,0.25517791699985537
0.0,0,0,0.05529058299998724
0.0,2,0,0.33609783300016716
0.0,2,0,0.2918157499998415
0.0,2,0,0.28479458299989346
0.0,2,0,0.25873612500026866
0.0,0,0,0.2591435829999682
0.0,0,0,0.2600600419996226
0.0,2,0,0.21523291699986657
0.0,0,0,0.1897693750001963
0.0,0,0,0.1654728339999565
0.0,0,0,0.2970983330001218
0.0,2,0,0.27255166700024347
0.0,0,0,0.24961991600002875
0.0,2,0,0.23710979199995563
0.0,2,0,0.07188291700003901
0.0,0,0,0.3234794579998379
0.0,2,0,0.3055962499997804
0.0,2,0,0.27233108400014316
0.0,0,0,0.35770683300006567
0.0,0,0,0.2977960829998665
0.0,0,0,0.26923549999992247
0.0,0,0,0.31688325000004625
0.0,2,0,0.2595549160000701
0.0,2,0,0.2461213750002571
