Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.2591462999698706
0.0,2,0,0.2720314000034705
0.0,2,0,0.2629781999858096
0.0,0,0,0.2413617999991402
0.0,0,0,0.24234749999595806
0.0,2,0,0.36925599997630343
0.0,2,0,0.2969806999899447
0.0,0,0,0.2969965999945998
0.0,0,0,0.2480939999804832
0.0,2,0,0.3344204999739304
0.0,2,0,0.26748229999793693
0.0,0,0,0.2682224999880418
0.0,2,0,0.3249454000033438
0.0,2,0,0.29886949999490753
0.0,2,0,0.25791109999408945
0.0,2,0,0.24929999996675178
0.0,2,0,0.3076821999857202
0.0,2,0,0.2570082999882288
0.0,0,0,0.2517799999914132
0.0,0,0,0.23600599996279925
0.0,0,0,0.26804579998133704
0.0,2,0,0.3594641999807209
0.0,0,0,0.27347469999222085
0.0,2,0,0.3026432999758981
0.0,0,0,0.24811599997337908
0.0,2,0,0.22624990000622347
0.0,2,0,0.27201030001742765
0.0,0,0,0.31333079998148605
0.0,2,0,0.2844230000046082
0.0,2,0,0.2520170999923721
0.0,0,0,0.2887512000161223
0.0,2,0,0.2340844999998808
0.0,2,0,0.2827932999935001
0.0,0,0,0.2518240000354126
0.0,2,0,0.2953721000230871
0.0,2,0,0.23310549999587238
0.0,2,0,0.2717402999987826
0.0,0,0,0.2651552999741398
0.0,0,0,0.22958529996685684
0.0,2,0,0.24049739999463782
0.0,0,0,0.26008430001093075
0.0,0,0,0.24605080002220348
0.0,0,0,0.3021592000150122
0.0,0,0,0.31232700002146885
0.0,0,0,0.2553706999751739
0.0,2,0,0.2481260999920778
0.0,0,0,0.2548558000125922
0.0,2,0,0.23179990000789985
0.0,0,0,0.2525454999995418
0.0,2,0,0.26254329999210313
0.0,2,0,0.2342254999675788
0.0,0,0,0.2063262999872677
0.0,0,0,0.226340799999889
0.0,0,0,0.2265202000271529
0.0,0,0,0.26848720002453774
0.0,0,0,0.22828199999639764
0.0,0,0,0.27750049997121096
0.0,0,0,0.27688390004914254
0.0,2,0,0.22800209996057674
0.0,2,0,0.28519490000326186
