Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.26128030900008525
0.0,0,0,0.2553902689999177
0.0,2,0,0.2675664600001255
0.0,2,0,0.2544786030000523
0.0,2,0,0.25115298900004746
0.0,2,0,0.2507605179998791
0.0,0,0,0.3238354640000125
0.0,0,0,0.23027099199998702
0.0,2,0,0.25370557500014
0.0,2,0,0.25242139199986013
0.0,0,0,0.2518042860001515
0.0,0,0,0.23180790399987927
0.0,2,0,0.2880522299999484
0.0,0,0,0.24318908000009287
0.0,0,0,0.2439641120001852
0.0,2,0,0.23688173200002893
0.0,0,0,0.2350814530000207
0.0,0,0,0.24962386499987588
0.0,0,0,0.26966913399996884
0.0,0,0,0.262234251000109
0.0,2,0,0.25108179800008656
0.0,2,0,0.23025619999998526
0.0,0,0,0.2657737879999331
0.0,2,0,0.1966837510001369
0.0,2,0,0.25328817899981004
0.0,0,0,0.23952959000007468
0.0,0,0,0.23084134100008669
0.0,0,0,0.251671584000178
0.0,0,0,0.2708684120000271
0.0,2,0,0.24166754800012313
0.0,0,0,0.23288449200003924
0.0,0,0,0.284119131000125
0.0,2,0,0.2714586639999652
0.0,2,0,0.2439859860000979
0.0,0,0,0.23425629000007575
0.0,0,0,0.26150120800002696
0.0,2,0,0.23860331099990617
0.0,2,0,0.26562425500014797
0.0,2,0,0.08586464200016053
0.0,2,0,0.3188284840000506
0.0,2,0,0.23105938000003334
0.0,0,0,0.2674025399999209
0.0,2,0,0.280500720000191
0.0,0,0,0.26466659099992285
0.0,2,0,0.41071775099999286
0.0,2,0,0.31309916899999735
0.0,2,0,0.24982040299983055
0.0,2,0,0.2685008519999883
0.0,0,0,0.2399774929999694
0.0,2,0,0.23074865099988529
0.0,0,0,0.2106641559998934
0.0,2,0,0.28433853799992903
0.0,0,0,0.2910224370000378
0.0,0,0,0.27079065999987506
0.0,0,0,0.21083064699996612
0.0,2,0,0.2546171989999948
0.0,2,0,0.2314233450001666
0.0,0,0,0.24527354499991816
0.0,0,0,0.21029065500010802
0.0,0,0,0.3958392310000818
