Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.27144614400094724
0.0,0,0,0.21791998600019724
0.0,2,0,0.2835596059994714
0.0,2,0,0.22982705799950054
0.0,0,0,0.21345329800169566
0.0,0,0,0.28385985500062816
0.0,2,0,0.254954293002811
0.0,2,0,0.2350474260019837
0.0,2,0,0.2425877239984402
0.0,2,0,0.22490850299800513
0.0,2,0,0.03266114699727041
0.0,2,0,0.21283387699804734
0.0,0,0,0.2170817350015568
0.0,2,0,0.23178300899962778
0.0,2,0,0.22664581299977726
0.0,2,0,0.2698410449993389
0.0,2,0,0.21951500300201587
0.0,0,0,0.21059810599763296
0.0,0,0,0.33074444999874686
0.0,0,0,0.27779741899939836
0.0,0,0,0.4397057659989514
0.0,0,0,0.24506262700015213
0.0,2,0,0.301149056002032
0.0,0,0,0.2273864449998655
0.0,2,0,0.2521548049990088
0.0,0,0,0.23863693900057115
0.0,2,0,0.2831832060001034
0.0,0,0,0.25551178499881644
0.0,2,0,0.2864131140013342
0.0,0,0,0.2855674429993087
0.0,2,0,0.23353840799973113
0.0,0,0,0.34192740600337856
0.0,2,0,0.23006674000134808
0.0,0,0,0.24653843700070865
0.0,0,0,0.26409590099865454
0.0,0,0,0.30002011400210904
0.0,0,0,0.25098434400206315
0.0,2,0,0.24681220200000098
0.0,0,0,0.24245654300102615
0.0,2,0,0.23321779800244258
0.0,0,0,0.2467750399991928
0.0,0,0,0.2616188810025051
0.0,2,0,0.25456571399990935
0.0,2,0,0.26966108299893676
0.0,0,0,0.2666165349983203
0.0,2,0,0.28264356100044097
0.0,0,0,0.2380101429989736
0.0,0,0,0.3697037330020976
0.0,2,0,0.25436583000191604
0.0,0,0,0.27350728300007177
0.0,0,0,0.3295259080005053
0.0,2,0,0.24095914799909224
0.0,2,0,0.265626719003194
0.0,0,0,0.210942880003131
0.0,2,0,0.2402421949991549
0.0,0,0,0.2614492529974086
0.0,2,0,0.2336322349983675
0.0,2,0,0.24572703000012552
0.0,2,0,0.24541450099786744
0.0,0,0,0.22430305600209977
