CEPO_01_13_Gabor Reflex Wide
Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.3431524590000660
0.0,2,0,0.4675303750000240
0.0,2,0,0.4995417500000490
0.0,0,0,0.4691960420000210
0.0,2,0,0.4138754159999960
0.0,0,0,0.3542622089998990
0.0,0,0,0.4486646660000130
0.0,2,0,0.30863316600005000
0.0,0,0,0.38684695900008100
0.0,0,0,0.3181251669999480
0.0,2,0,0.28746079099994400
0.0,0,0,0.41452941700004000
0.0,2,0,0.3419247499999760
0.0,0,0,0.35551637499997900
0.0,2,0,0.44992437500002300
0.0,0,0,0.4496950840000410
0.0,0,0,0.3237347500000850
0.0,2,0,0.31619479100004400
0.0,0,0,0.3309732080000460
0.0,0,0,0.29807175000007600
0.0,2,0,0.33612591700000400
0.0,0,0,0.32730658299999500
0.0,0,0,0.3910059169999160
0.0,2,0,0.42286170800002800
0.0,2,0,0.2911346659999480
0.0,2,0,0.3496747089999420
0.0,2,0,0.3212308749999690
0.0,2,0,0.2925722919999320
0.0,2,0,0.2806884159999750
0.0,0,0,0.32664741700000400
0.0,0,0,0.307389374999957
0.0,0,0,0.3316080829999920
0.0,0,0,0.2652150410000330
0.0,2,0,0.4218983749999550
0.0,2,0,0.29054108399998300
0.0,2,0,0.3534281249999370
0.0,2,0,0.3086606250000160
0.0,0,0,0.3039833750000300
0.0,2,0,0.27450850000002400
0.0,0,0,0.2656780830000120
0.0,0,0,0.35845437500006500
0.0,0,0,0.25804066600005600
0.0,0,0,0.2913514589999980
0.0,0,0,0.34944962500003400
0.0,0,0,0.30990604099997700
0.0,0,0,0.3072362919999710
0.0,0,0,0.4204229999999140
0.0,0,0,0.30911187499998500
0.0,2,0,0.3047118329999420
0.0,0,0,0.28766391600004200
0.0,2,0,0.3135691659999790
0.0,2,0,0.28043958400007800
0.0,2,0,0.23297954099996300
0.0,2,0,0.4036783329999030
0.0,2,0,0.2842658750000740
0.0,0,0,0.29806037500009100
0.0,2,0,0.2904920419999830
0.0,2,0,0.42238254200003700
0.0,2,0,0.2910430419999560
0.0,0,0,0.3058098329998980
