Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,0,0.211269616
0,2,0,0.20419974
0,2,0,0.193159722
0,2,0,0.182210183
0,2,0,0.213254193
0,2,0,0.18661775
0,0,0,0.222333298
0,2,0,0.27250298
0,0,0,0.211996229
0,2,0,0.209565195
0,2,0,0.241428789
0,0,0,0.165424577
0,2,0,0.211261333
0,2,0,0.273260004
0,0,0,0.181460378
0,2,0,0.197066356
0,0,0,0.21134106
0,2,0,0.21061797
0,0,0,0.336636609
0,0,0,0.181908257
0,2,0,0.174543656
0,0,0,0.184425651
0,2,0,0.203398957
0,2,0,0.21238898
0,0,0,0.156839104
0,0,0,0.166854439
0,2,0,0.214839768
0,0,0,0.171841636
0,2,0,0.213603336
0,2,0,0.210516266
0,0,0,0.192700823
0,2,0,0.207583224
0,2,0,0.256842047
0,2,0,0.178975515
0,0,0,0.169164555
0,0,0,0.169564919
0,0,0,0.191379566
0,0,0,0.233943694
0,0,0,0.2054668
0,2,0,0.209272137
0,0,0,0.176953439
0,2,0,0.22801124
0,0,0,0.235816243
0,0,0,0.192119683
0,0,0,0.194892478
0,0,0,0.189139754
0,2,0,0.184679602
0,0,0,0.197694182
0,0,0,0.193175045
0,2,0,0.248914089
0,0,0,0.182675782
0,0,0,0.228481801
0,2,0,0.192348096
0,0,0,0.163929261
0,2,0,0.216372569
0,2,0,0.183543963
0,0,0,0.203340023
0,0,0,0.203705619
0,2,0,0.155368168
0,0,0,0.194578151
