Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.28493588301353157
0.0,2,0,0.2506802199932281
0.0,2,0,0.22928365599364042
0.0,2,0,0.2863976270018611
0.0,2,0,0.24707324701012112
0.0,2,0,0.2647682039823849
0.0,2,0,0.27163298401865177
0.0,2,0,0.21682742598932236
0.0,2,0,0.3671487440005876
0.0,2,0,0.254202020005323
0.0,2,0,0.20831792801618576
0.0,2,0,0.21677162300329655
0.0,2,0,0.22250350398826413
0.0,2,0,0.11944217700511217
0.0,2,0,0.21116728498600423
0.0,2,0,0.3000016850128304
0.0,2,0,0.26497696901788004
0.0,2,0,0.21160066800075583
0.0,2,0,0.23354876998928376
0.0,2,0,0.29356119700241834
0.0,2,0,0.2191141720104497
0.0,2,0,0.20983161599724554
0.0,2,0,0.2635669869778212
0.0,2,0,0.3114631779899355
0.0,2,0,0.2640442500123754
0.0,2,0,0.26431199299986474
0.0,2,0,0.2504067400004715
0.0,2,0,0.23103067200281657
0.0,2,0,0.27644361497368664
0.0,2,0,0.2536782170063816
