Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Time Delay/1000
0,0,0,0.307336805,,0.209706805
0,0,0,0.279091859,,0.181461859
0,2,0,0.261178401,,0.163548401
0,0,0,0.420845328,,0.323215328
0,2,0,0.301526905,,0.203896905
0,2,0,0.272174544,,0.174544544
0,2,0,0.350758229,,0.253128229
0,0,0,0.283176367,,0.185546367
0,2,0,0.285992508,,0.188362508
0,2,0,0.259871004,,0.162241004
0,2,0,0.419055103,,0.321425103
0,2,0,0.398788479,,0.301158479
0,2,0,0.30930557,,0.21167557
0,2,0,0.256012586,,0.158382586
0,0,0,0.251626918,,0.153996918
0,0,0,0.252931915,,0.155301915
0,0,0,0.226520733,,0.128890733
0,0,0,0.384572428,,0.286942428
0,2,0,0.225976691,,0.128346691
0,0,0,0.245758374,,0.148128374
0,0,0,0.298684507,,0.201054507
0,0,0,0.269476703,,0.171846703
0,2,0,0.457855366,,0.360225366
0,0,0,0.3143971,,0.2167671
0,0,0,0.220890474,,0.123260474
0,2,0,0.376488719,,0.278858719
0,0,0,0.256350145,,0.158720145
0,0,0,0.471185257,,0.373555257
0,2,0,0.269819985,,0.172189985
0,2,0,0.466945419,,0.369315419
0,0,0,0.311003832,,0.213373832
0,2,0,0.269796045,,0.172166045
0,0,0,0.294804665,,0.197174665
0,0,0,0.322983997,,0.225353997
0,2,0,0.254784158,,0.157154158
0,0,0,0.359443391,,0.261813391
0,2,0,0.289582821,,0.191952821
0,2,0,0.302279811,,0.204649811
0,2,0,0.343757788,,0.246127788
0,0,0,0.439650959,,0.342020959
0,2,0,0.380418454,,0.282788454
0,2,0,0.339712204,,0.242082204
0,2,0,0.385893092,,0.288263092
0,0,0,0.558382681,,0.460752681
0,2,0,0.504285888,,0.406655888
0,2,0,0.282829891,,0.185199891
0,0,0,0.165524204,,0.067894204
0,2,0,0.530867093,,0.433237093
0,0,0,0.298444312,,0.200814312
0,0,0,0.504018883,,0.406388883
0,0,0,0.531530022,,0.433900022
0,0,0,0.375602963,,0.277972963
0,0,0,0.271118723,,0.173488723
0,0,0,0.316919215,,0.219289215
0,2,0,0.274439612,,0.176809612
0,0,0,0.245561071,,0.147931071
0,2,0,0.29124827,,0.19361827
0,0,0,0.331940664,,0.234310664
0,2,0,0.243193226,,0.145563226
0,2,0,0.282251321,,0.184621321
