Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.2301633469760418
0.0,2,0,0.23546511604217812
0.0,0,0,0.24800455098738894
0.0,2,0,0.2732848359737545
0.0,2,0,0.22369422198971733
0.0,0,0,0.22829018597258255
0.0,2,0,0.25902491400483996
0.0,2,0,0.25861704896669835
0.0,2,0,0.2876502919825725
0.0,0,0,0.2504818639717996
0.0,0,0,0.2870987430214882
0.0,0,0,0.21091723500285298
0.0,0,0,0.2459250629763119
0.0,0,0,0.24090825096936896
0.0,2,0,0.2347226080019027
0.0,0,0,0.21909432898974046
0.0,0,0,0.25715191301424056
0.0,0,0,0.2421878679888323
0.0,2,0,0.2590075840125792
0.0,2,0,0.2576933390228078
0.0,2,0,0.24137358600273728
0.0,0,0,0.25296438700752333
0.0,0,0,0.24381944601191208
0.0,2,0,0.2380956819979474
0.0,2,0,0.23191470000892878
0.0,0,0,0.22491584601812065
0.0,0,0,0.22079333197325468
0.0,2,0,0.21440566598903388
0.0,2,0,0.24078227602876723
0.0,2,0,0.3517609739792533
0.0,0,0,0.40598283999133855
0.0,0,0,0.2320786850177683
0.0,0,0,0.28543627995532006
0.0,0,0,0.2601342730340548
0.0,2,0,0.2383661560015753
0.0,0,0,0.24473521602340043
0.0,0,0,0.010109671973623335
0.0,0,0,0.24558616400463507
0.0,2,0,0.24366950197145343
0.0,2,0,0.2574250620091334
0.0,2,0,0.2286867179791443
0.0,0,0,0.23691256705205888
0.0,0,0,0.2261823780136183
0.0,2,0,0.2373751379782334
0.0,0,0,0.24069401097949594
0.0,0,0,0.2355860179523006
0.0,2,0,0.24860528897261247
0.0,2,0,0.3933493020012975
0.0,2,0,0.2688480700016953
0.0,2,0,0.2772933689993806
0.0,0,0,0.25440020801033825
0.0,2,0,0.2549093699781224
0.0,2,0,0.25751703599235043
0.0,2,0,0.2591517710243352
0.0,0,0,0.23529238003538921
0.0,2,0,0.26542434602743015
0.0,0,0,0.22960246296133846
0.0,0,0,0.24592388898599893
0.0,2,0,0.23663896502694115
0.0,2,0,0.24755690601887181
0.0,2,0,0.23496317100943998
0.0,2,0,0.23017531004734337
0.0,0,0,0.24572069302666932
0.0,0,0,0.22067705099470913
0.0,0,0,0.2162323429947719
0.0,0,0,0.22556482499931008
0.0,0,0,0.21237881400156766
0.0,0,0,0.22944777202792466
0.0,0,0,0.233895757002756
0.0,0,0,0.2307615439640358
0.0,0,0,0.2525446439976804
0.0,0,0,0.22652070899493992
0.0,0,0,0.3505829779896885
0.0,2,0,0.21605274704052135
0.0,0,0,0.1979842419968918
0.0,2,0,0.22885772603331134
0.0,2,0,0.23250325600383803
0.0,2,0,0.23080141603713855
0.0,2,0,0.210676308022812
0.0,2,0,0.21192890597740188
0.0,0,0,0.23040806397330016
0.0,2,0,0.04790605901507661
0.0,0,0,0.24861503299325705
0.0,2,0,0.2190471530193463
0.0,2,0,0.22924497001804411
0.0,0,0,0.33971304300939664
0.0,0,0,0.23244101396994665
0.0,2,0,0.2221727060386911
0.0,2,0,0.2211435940116644
0.0,2,0,0.2269027879810892
0.0,0,0,0.231174326967448
0.0,2,0,0.2280109460116364
0.0,0,0,0.20867471699602902
0.0,0,0,0.19548587000463158
0.0,0,0,0.2219775650301017
0.0,0,0,0.18915631697745994
0.0,0,0,0.20508186402730644
0.0,2,0,0.17471692903200164
0.0,0,0,0.2396804800373502
0.0,2,0,0.23283635400002822
0.0,0,0,0.2398786720004864
0.0,2,0,0.19707714801188558
0.0,2,0,0.2148724510334432
0.0,2,0,0.24837099300930277
0.0,0,0,0.23273274896200746
0.0,0,0,0.2302128419978544
0.0,0,0,0.32068025798071176
0.0,2,0,0.2059788709739223
0.0,2,0,0.2200427110074088
0.0,2,0,0.24203669204143807
0.0,2,0,0.2536524289753288
0.0,0,0,0.2294783079996705
0.0,2,0,0.23985550802899525
0.0,2,0,0.24802752496907488
0.0,2,0,0.12316060496959835
0.0,0,0,0.23140379402320832
0.0,0,0,0.23323588102357462
0.0,2,0,0.22278904798440635
0.0,2,0,0.2144226769451052
0.0,2,0,0.22066545800771564
