Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.32678716600639746
0.0,0,0,0.3228837499918882
0.0,2,0,0.2816472499980591
0.0,2,0,0.449787749996176
0.0,0,0,0.27097508299630135
0.0,0,0,0.2636347090010531
0.0,2,0,0.2595124999934342
0.0,2,0,0.2585732919978909
0.0,2,0,0.31200616600108333
0.0,0,0,0.23533166700508446
0.0,0,0,0.29419074999168515
0.0,2,0,0.3093937920057215
0.0,2,0,0.2740842089988291
0.0,0,0,0.30739999999059364
0.0,0,0,0.2896662919956725
0.0,2,0,0.27325708299758844
0.0,2,0,0.28936962501029484
0.0,0,0,0.2703464590013027
0.0,0,0,0.22550225001759827
0.0,2,0,0.28887054199003614
0.0,2,0,0.28131037499406375
0.0,2,0,0.26959974999772385
0.0,0,0,0.3003810000082012
0.0,0,0,0.2545726249809377
0.0,2,0,0.2644754159846343
0.0,0,0,0.25108779201400466
0.0,2,0,0.2772210410039406
0.0,2,0,0.2963212500035297
0.0,0,0,0.1626214580028318
0.0,0,0,0.29576762500801124
0.0,0,0,0.379803499992704
0.0,0,0,0.31554666699958034
0.0,0,0,0.298674833989935
0.0,0,0,0.29837200001929887
0.0,2,0,0.2753131659992505
0.0,2,0,0.28774566602078266
0.0,0,0,0.2557339589984622
0.0,2,0,0.27206437502172776
0.0,0,0,0.28383054200094193
0.0,0,0,0.2926413749810308
0.0,2,0,0.4311362089938484
0.0,0,0,0.22766400000546128
0.0,2,0,0.2854015830089338
0.0,2,0,0.27151004201732576
0.0,2,0,0.23667612500139512
0.0,2,0,0.25242983299540356
0.0,2,0,0.277269249985693
0.0,2,0,0.3483105829800479
0.0,0,0,0.2569375839957502
0.0,0,0,0.2883745419967454
0.0,0,0,0.28244433298823424
0.0,2,0,0.28878087498014793
0.0,0,0,0.25929591699969023
0.0,2,0,0.291701500013005
0.0,2,0,0.30635754100512713
0.0,0,0,0.29176687498693354
0.0,0,0,0.3442839159979485
0.0,0,0,0.3105700000014622
0.0,0,0,0.2749459589831531
0.0,2,0,0.30290433298796415
