Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,0,0.336543676
0,2,0,0.484216193
0,2,0,0.608016517
0,2,0,0.393098115
0,2,0,0.463123012
0,2,0,0.520489308
0,0,0,0.477794171
0,2,0,0.459616146
0,0,0,0.490335206
0,2,0,0.446831102
0,2,0,0.41983459
0,2,0,0.510501286
0,0,0,0.405347839
0,0,0,0.415592434
0,0,0,0.283432537
0,2,0,0.480989821
0,0,0,0.440111523
0,0,0,0.379460559
0,0,0,0.30776523
0,0,0,0.461793644
0,0,0,0.258756263
0,2,0,0.437296106
0,2,0,0.430478098
0,2,0,0.401412985
0,2,0,0.261421848
0,2,0,0.345579715
0,0,0,0.551788209
0,2,0,0.367248067
0,0,0,0.285948711
0,0,0,0.466289207
0,0,0,0.430119265
0,2,0,0.429698146
0,0,0,0.452628088
0,2,0,0.414853758
0,0,0,0.40493843
0,2,0,0.511478501
0,2,0,0.540362344
0,2,0,0.45049901
0,0,0,0.269812898
0,0,0,0.488760425
0,0,0,0.24857991
0,0,0,0.549696254
0,0,0,0.340305024
0,0,0,0.35707969
0,2,0,0.310824585
0,0,0,0.474980133
0,2,0,0.48386143
0,0,0,0.416348843
0,2,0,0.52875528
0,0,0,0.344548401
0,2,0,0.416310656
0,0,0,0.296340518
0,0,0,0.310347032
0,2,0,0.419857198
0,2,0,0.310528675
0,0,0,0.457184418
0,0,0,0.40868757
0,0,0,0.410683318
0,2,0,0.410978244
0,2,0,0.283484386
