Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,0,0.198499584
0,0,0,0.203432712
0,2,0,0.225882246
0,0,0,0.256535969
0,2,0,0.245661565
0,0,0,0.288469944
0,0,0,0.230131293
0,2,0,0.227629019
0,2,0,0.224724362
0,2,0,0.226887413
0,2,0,0.211023599
0,0,0,0.188532202
0,0,0,0.219812656
0,0,0,0.22644243
0,0,0,0.262403247
0,0,0,0.22141813
0,2,0,0.224861447
0,2,0,0.236822999
0,0,0,0.244650404
0,0,0,0.272532463
0,2,0,0.227617337
0,2,0,0.253344627
0,2,0,0.257821323
0,2,0,0.216853812
0,2,0,0.26920476
0,0,0,0.217092122
0,2,0,0.249226886
0,0,0,0.282665794
0,2,0,0.231804429
0,2,0,0.243998825
0,0,0,0.251549732
0,0,0,0.249002051
0,0,0,0.208368619
0,0,0,0.190128035
0,2,0,0.266679531
0,2,0,0.238026935
0,2,0,0.244424251
0,0,0,0.069356131
0,2,0,0.217828404
0,0,0,0.301389571
0,2,0,0.246571155
0,0,0,0.22719959
0,0,0,0.164026616
0,2,0,0.24271371
0,0,0,0.279264765
0,2,0,0.241216191
0,2,0,0.237767115
0,0,0,0.291661223
0,2,0,0.259670361
0,2,0,0.338878836
0,0,0,0.295310808
0,2,0,0.230346977
0,0,0,0.07725077
0,0,0,0.29285324
0,0,0,0.218670235
0,0,0,0.215891347
0,2,0,0.265951536
0,2,0,0.212355973
0,0,0,0.281985518
0,2,0,0.224237514
