Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.26575058297021315
0.0,2,0,0.26466629101196304
0.0,2,0,0.2566451669554226
0.0,0,0,0.2584481660160236
0.0,2,0,0.217860542004928
0.0,2,0,0.2474679589504376
0.0,0,0,0.20637941698078066
0.0,0,0,0.21708920801756904
0.0,0,0,0.2288815419888124
0.0,0,0,0.2716595840174705
0.0,2,0,0.24199133401270956
0.0,0,0,0.30804179195547476
0.0,0,0,0.27800862496951595
0.0,0,0,0.26239587500458583
0.0,2,0,0.23880904202815145
0.0,2,0,0.2891541249700822
0.0,0,0,0.22203362500295043
0.0,2,0,0.26207070803502575
0.0,0,0,0.264497208991088
0.0,2,0,0.31258524995064363
0.0,0,0,0.22329054202418774
0.0,2,0,0.24654541700147092
0.0,2,0,0.2562315840041265
0.0,2,0,0.2434786250232719
0.0,2,0,0.25658441602718085
0.0,2,0,0.21574262500507757
0.0,0,0,0.2839584169560112
0.0,2,0,0.2815014169900678
0.0,0,0,0.2665156669681892
0.0,0,0,0.24876366701209918
0.0,2,0,0.2491804159944877
0.0,2,0,0.24861762498039752
0.0,2,0,0.2382523330161348
0.0,0,0,0.23871554102515802
0.0,0,0,0.26200054201763123
0.0,2,0,0.27052945795003325
0.0,2,0,0.2471814169548452
0.0,2,0,0.24491216702153906
0.0,2,0,0.2538207499892451
0.0,2,0,0.21332987502682954
0.0,2,0,0.3288539170171134
0.0,0,0,0.2635782500146888
0.0,0,0,0.24464904196793213
0.0,0,0,0.29699724999954924
0.0,0,0,0.25378729100339115
0.0,0,0,0.24925991700729355
0.0,2,0,0.396770249994006
0.0,0,0,0.2332897080341354
0.0,2,0,0.2491357499966398
0.0,2,0,0.26103566598612815
0.0,0,0,0.2180985829909332
0.0,0,0,0.23707691702293232
0.0,2,0,0.3846550410380587
0.0,2,0,0.21909254195634276
0.0,0,0,0.20020700001623482
0.0,0,0,0.32117495901184157
0.0,0,0,0.28765149996615946
0.0,2,0,0.251798624987714
0.0,0,0,0.29962000000523403
0.0,0,0,0.26955070899566635
