Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Delay/1000,Reaction Time (ms),Average,Standard Deviation
0,2,0,0.173773338,,0.130273338,130.273338,0.161070536,0.032163028
0,2,0,0.191415353,,0.147915353,147.915353,,
0,0,0,0.196245431,,0.152745431,152.745431,,
0,2,0,0.183176857,,0.139676857,139.676857,,
0,0,0,0.199387453,,0.155887453,155.887453,,
0,0,0,0.198650055,,0.155150055,155.150055,,
0,0,0,0.187331949,,0.143831949,143.831949,,
0,2,0,0.241041652,,0.197541652,197.541652,,
0,2,0,0.201606811,,0.158106811,158.106811,,
0,2,0,0.190116895,,0.146616895,146.616895,,
0,2,0,0.205538648,,0.162038648,162.038648,,
0,2,0,0.172408282,,0.128908282,128.908282,,
0,0,0,0.192023135,,0.148523135,148.523135,,
0,2,0,0.225428096,,0.181928096,181.928096,,
0,0,0,0.258947139,,0.215447139,215.447139,,
0,0,0,0.215298979,,0.171798979,171.798979,,
0,2,0,0.208610297,,0.165110297,165.110297,,
0,2,0,0.219561934,,0.176061934,176.061934,,
0,0,0,0.255758782,,0.212258782,212.258782,,
0,2,0,0.200135141,,0.156635141,156.635141,,
0,2,0,0.182723669,,0.139223669,139.223669,,
0,0,0,0.190660109,,0.147160109,147.160109,,
0,2,0,0.174842816,,0.131342816,131.342816,,
0,2,0,0.199082751,,0.155582751,155.582751,,
0,0,0,0.193639249,,0.150139249,150.139249,,
0,2,0,0.182602787,,0.139102787,139.102787,,
0,2,0,0.185714641,,0.142214641,142.214641,,
0,2,0,0.198684071,,0.155184071,155.184071,,
0,0,0,0.183647221,,0.140147221,140.147221,,
0,0,0,0.19788962,,0.15438962,154.38962,,
0,2,0,0.172836117,,0.129336117,129.336117,,
0,0,0,0.206190855,,0.162690855,162.690855,,
0,0,0,0.201539947,,0.158039947,158.039947,,
0,0,0,0.193047808,,0.149547808,149.547808,,
0,2,0,0.193690116,,0.150190116,150.190116,,
0,0,0,0.182936452,,0.139436452,139.436452,,
0,2,0,0.181981936,,0.138481936,138.481936,,
0,2,0,0.23353725,,0.19003725,190.03725,,
0,0,0,0.173503512,,0.130003512,130.003512,,
0,2,0,0.288748822,,0.245248822,245.248822,,
0,2,0,0.204608289,,0.161108289,161.108289,,
0,0,0,0.224481834,,0.180981834,180.981834,,
0,0,0,0.199294505,,0.155794505,155.794505,,
0,2,0,0.20069211,,0.15719211,157.19211,,
0,0,0,0.192116158,,0.148616158,148.616158,,
0,2,0,0.195147173,,0.151647173,151.647173,,
0,0,0,0.258546966,,0.215046966,215.046966,,
0,2,0,0.223999854,,0.180499854,180.499854,,
0,0,0,0.343753312,,0.300253312,300.253312,,
0,0,0,0.164936179,,0.121436179,121.436179,,
0,0,0,0.18682646,,0.14332646,143.32646,,
0,2,0,0.294048893,,0.250548893,250.548893,,
0,0,0,0.212918432,,0.169418432,169.418432,,
0,2,0,0.208638748,,0.165138748,165.138748,,
0,0,0,0.204041869,,0.160541869,160.541869,,
0,0,0,0.180449004,,0.136949004,136.949004,,
0,0,0,0.176943518,,0.133443518,133.443518,,
0,0,0,0.185114264,,0.141614264,141.614264,,
0,2,0,0.204659181,,0.161159181,161.159181,,
0,0,0,0.179059452,,0.135559452,135.559452,,
