Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,,Subtract Time Delay/1000,,,,,,Milliseconds
0,0,0,0.300424679,,,0.245424679,,,,,,245.424679
0,2,0,0.200759391,,,0.145759391,,,,,,145.759391
0,0,0,0.246156687,,,0.191156687,,,,,,191.156687
0,0,0,0.190518486,,,0.135518486,,,,,,135.518486
0,2,0,0.206965244,,,0.151965244,,,,,,151.965244
0,2,0,0.229512664,,,0.174512664,,,,,,174.512664
0,2,0,0.249919205,,,0.194919205,,,,,,194.919205
0,2,0,0.19645987,,,0.14145987,,,,,,141.45987
0,0,0,0.199128508,,,0.144128508,,,,,,144.128508
0,0,0,0.290496246,,,0.235496246,,,Average,0.205666478,,235.496246
0,0,0,0.205718894,,,0.150718894,,,,,,150.718894
0,2,0,0.156427601,,,0.101427601,,,Std Dev.,0.094268382,,101.427601
0,2,0,0.137287691,,,0.082287691,,,,,,82.287691
0,0,0,0.190525653,,,0.135525653,,,,,,135.525653
0,2,0,0.168386151,,,0.113386151,,,,,,113.386151
0,2,0,0.075661619,,,0.020661619,,,,,,20.661619
0,2,0,0.315706906,,,0.260706906,,,,,,260.706906
0,2,0,0.1750824,,,0.1200824,,,,,,120.0824
0,2,0,0.066635808,,,0.011635808,,,,,,11.635808
0,0,0,0.200620049,,,0.145620049,,,,,,145.620049
0,0,0,0.233872291,,,0.178872291,,,,,,178.872291
0,0,0,0.22582751,,,0.17082751,,,,,,170.82751
0,2,0,0.294673616,,,0.239673616,,,,,,239.673616
0,0,0,0.328217056,,,0.273217056,,,,,,273.217056
0,0,0,0.274621283,,,0.219621283,,,,,,219.621283
0,2,0,0.263593046,,,0.208593046,,,,,,208.593046
0,0,0,0.127228451,,,0.072228451,,,,,,72.228451
0,0,0,0.394937148,,,0.339937148,,,,,,339.937148
0,2,0,0.300559758,,,0.245559758,,,,,,245.559758
0,2,0,0.523534362,,,0.468534362,, ,,,,468.534362
0,0,0,0.324858349,,,0.269858349,,,,,,269.858349
0,2,0,0.338412313,,,0.283412313,,,,,,283.412313
0,0,0,0.500986183,,,0.445986183,,,,,,445.986183
0,2,0,0.374937303,,,0.319937303,,,,,,319.937303
0,2,0,0.379049383,,,0.324049383,,,,,,324.049383
0,2,0,0.258794387,,,0.203794387,,,,,,203.794387
0,2,0,0.520026903,,,0.465026903,,,,,,465.026903
0,0,0,0.250949625,,,0.195949625,,,,,,195.949625
0,2,0,0.207734115,,,0.152734115,,,,,,152.734115
0,0,0,0.209802628,,,0.154802628,,,,,,154.802628
0,2,0,0.290174937,,,0.235174937,,,,,,235.174937
0,0,0,0.21424981,,,0.15924981,,,,,,159.24981
0,2,0,0.250343309,,,0.195343309,,,,,,195.343309
0,0,0,0.342239381,,,0.287239381,,,,,,287.239381
0,0,0,0.27033187,,,0.21533187,,,,,,215.33187
0,2,0,0.284368024,,,0.229368024,,,,,,229.368024
0,2,0,0.277844801,,,0.222844801,,,,,,222.844801
0,0,0,0.240760714,,,0.185760714,,,,,,185.760714
0,2,0,0.312024146,,,0.257024146,,,,,,257.024146
0,2,0,0.245163599,,,0.190163599,,,,,,190.163599
0,0,0,0.227938025,,,0.172938025,,,,,,172.938025
0,0,0,0.263900681,,,0.208900681,,,,,,208.900681
0,0,0,0.217963553,,,0.162963553,,,,,,162.963553
0,0,0,0.230996337,,,0.175996337,,,,,,175.996337
0,2,0,0.228496618,,,0.173496618,,,,,,173.496618
0,2,0,0.065247774,,,0.010247774,,,,,,10.247774
0,0,0,0.412278253,,,0.357278253,,,,,,357.278253
0,0,0,0.268550264,,,0.213550264,,,,,,213.550264
0,0,0,0.350500973,,,0.295500973,,,,,,295.500973
0,0,0,0.311606139,,,0.256606139,,,,,,256.606139
