Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.2614508369952091
0.0,0,0,0.3500265140028205
0.0,0,0,0.3122789560002275
0.0,0,0,0.26449040199804585
0.0,0,0,0.35515399200085085
0.0,0,0,0.28907084700040286
0.0,2,0,0.33293096799752675
0.0,0,0,0.2654298670022399
0.0,0,0,0.28315352000208804
0.0,2,0,0.2242273550000391
0.0,2,0,0.2800923100003274
0.0,2,0,0.2348364660065272
0.0,2,0,0.27326093300507637
0.0,2,0,0.24593263099814067
0.0,2,0,0.34485782900446793
0.0,2,0,0.26371002700034296
0.0,2,0,0.24728043700451963
0.0,0,0,0.2796852620012942
0.0,2,0,0.23449691200221423
0.0,0,0,0.23894529300014256
0.0,2,0,0.25509526699897833
0.0,0,0,0.2508687599984114
0.0,2,0,0.25046073599514784
0.0,2,0,0.24767791599879274
0.0,2,0,0.479260867999983
0.0,2,0,0.28664484700129833
0.0,0,0,0.2330384450033307
0.0,2,0,0.6599563710042275
0.0,0,0,0.24377899699902628
0.0,2,0,0.28914379500201903
0.0,0,0,0.2499985460017342
0.0,0,0,0.2825898739974946
0.0,0,0,0.2507571910027764
0.0,2,0,0.21753204699780326
0.0,2,0,0.22471159999986412
0.0,0,0,0.19300038000073982
0.0,0,0,0.22899747799965553
0.0,2,0,0.25805177300208015
0.0,0,0,0.2478272209991701
0.0,0,0,0.2519229469980928
0.0,2,0,0.22637130999646615
0.0,0,0,0.21138682200398762
0.0,2,0,0.2774124979987391
0.0,0,0,0.24364579500252148
0.0,0,0,0.2740150710014859
0.0,0,0,0.23436212499655085
0.0,0,0,0.14336574800108792
0.0,0,0,0.010803757999383379
0.0,2,0,0.017402012999809813
0.0,0,0,0.24490334700385574
0.0,2,0,0.18287954200059175
0.0,0,0,0.24328357999911532
0.0,0,0,0.29553528299584286
0.0,0,0,0.1989444389982964
0.0,2,0,0.1185390919999918
0.0,0,0,0.247085656003037
0.0,2,0,0.2359990819968516
0.0,2,0,0.29401680800219765
0.0,2,0,0.24999110600037966
0.0,2,0,0.22347473000263562
