Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.25093633300002693
0.0,2,0,0.2411426250000659
0.0,0,0,0.25714370900004724
0.0,0,0,0.2503224170000067
0.0,0,0,0.29845129099976475
0.0,2,0,0.2716603329999998
0.0,2,0,0.28068483400011246
0.0,0,0,0.2543408329997874
0.0,2,0,0.2366853340004127
0.0,0,0,0.2659621249999873
0.0,0,0,0.23319262499990145
0.0,2,0,0.2635321250004381
0.0,0,0,0.24908554200010258
0.0,0,0,0.2467223329999797
0.0,0,0,0.09957137499986857
0.0,2,0,0.3023868750001384
0.0,0,0,0.24733354099998905
0.0,0,0,0.25311045799981
0.0,2,0,0.24471841700005825
0.0,2,0,0.22753737499988347
0.0,2,0,0.22261487500009025
0.0,0,0,0.22531554200031678
0.0,0,0,0.252155958000003
0.0,0,0,0.2360453750002307
0.0,2,0,0.26860325000006924
0.0,0,0,0.2959200410000449
0.0,2,0,0.2283225829996809
0.0,2,0,0.24392508299979454
0.0,2,0,0.10668091700017612
0.0,2,0,0.2719231250002849
0.0,2,0,0.2617513330001202
0.0,0,0,0.2529052079999019
0.0,2,0,0.25532908400009546
0.0,0,0,0.24599149999994552
0.0,0,0,0.32493650000014895
0.0,0,0,0.24543008299997382
0.0,2,0,0.27298883299999943
0.0,2,0,0.24812370800009376
0.0,0,0,0.22985354200000074
0.0,2,0,0.2624159580000196
0.0,0,0,0.20216404199982208
0.0,0,0,0.21484812500011685
0.0,2,0,0.4484717919999639
0.0,2,0,0.2326579580003454
0.0,0,0,0.2300394169997162
0.0,0,0,0.24121712499982095
0.0,2,0,0.22718774999975722
0.0,0,0,0.21620787500023653
0.0,2,0,0.05071387499992852
0.0,0,0,0.18670637500008525
0.0,0,0,0.2701359580000826
0.0,0,0,0.2479269169998588
0.0,0,0,0.2501009160000649
0.0,0,0,0.2576016250000066
0.0,2,0,0.2680977080003686
0.0,2,0,0.24307883400024366
0.0,2,0,0.45332620799990764
0.0,2,0,0.22262179200015453
0.0,2,0,0.23153704099968309
0.0,2,0,0.24861124999961248
