Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.28217661199983013
0.0,2,0,0.27396815599990987
0.0,2,0,0.29109542499986674
0.0,0,0,0.2694833220000419
0.0,0,0,0.2650147530000595
0.0,0,0,0.25599846199997955
0.0,2,0,0.2522995379999884
0.0,0,0,0.3362858400000732
0.0,2,0,0.2629061869999987
0.0,0,0,0.2699061390001134
0.0,0,0,0.2855141090001325
0.0,0,0,0.288715110999874
0.0,0,0,0.35268663400006517
0.0,0,0,0.21913683200000378
0.0,2,0,0.3080927979999615
0.0,2,0,0.29886402800002543
0.0,2,0,0.27660638599991216
0.0,2,0,0.27331015599997954
0.0,0,0,0.25440799800003333
0.0,2,0,0.29850968000005196
0.0,0,0,0.27663771100014856
0.0,0,0,0.3221366479999688
0.0,0,0,0.3696489120000024
0.0,0,0,0.2693121050001537
0.0,0,0,0.2995658080001249
0.0,2,0,0.27927757900010874
0.0,0,0,0.12282099699996252
0.0,0,0,0.2570962929999041
0.0,2,0,0.23693649500000902
0.0,0,0,0.2833659949999401
0.0,2,0,0.2601253650000217
0.0,2,0,0.3192623449999701
0.0,2,0,0.29295031799983917
0.0,2,0,0.32055366300005517
0.0,0,0,0.2658243430000766
0.0,2,0,0.2748832700001458
0.0,2,0,0.2340412579999338
0.0,2,0,0.336149369000168
0.0,2,0,0.268619770999976
0.0,2,0,0.2672781339999801
0.0,2,0,0.269425579999961
0.0,0,0,0.26940893699998014
0.0,0,0,0.28640932500002236
0.0,0,0,0.26130499000009877
0.0,0,0,0.2545895499999915
0.0,0,0,0.26229133799984083
0.0,0,0,0.2934274690001075
0.0,2,0,0.2618240650001553
0.0,0,0,0.28723631699995167
0.0,2,0,0.1136699270000463
0.0,2,0,0.28707333000011204
0.0,2,0,0.2573251329999948
0.0,0,0,0.2593437990001348
0.0,2,0,0.25113141399992855
0.0,0,0,0.301179078000132
0.0,0,0,0.3038060050000695
0.0,2,0,0.26434820400004355
0.0,2,0,0.2973073480000039
0.0,2,0,0.28204506300016874
0.0,2,0,0.3001638240000375
