Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,1.1023871999932453
90.0,2,0,0.47749440000916366
90.0,2,0,0.4733995999995386
0.0,0,0,0.5301941000070656
90.0,2,0,0.5110531999962404
90.0,2,0,0.49962209998921026
0.0,0,0,0.40917260000423994
90.0,2,0,0.38578729999426287
0.0,0,0,0.24742750001314562
90.0,0,0,0.38990840000042226
90.0,0,0,0.5512761999998474
0.0,2,0,0.36842489999253303
0.0,0,0,0.5703362000058405
90.0,0,0,0.4709080000029644
90.0,0,0,0.49929720000363886
0.0,2,0,0.43521640000108164
90.0,0,0,0.508445200001006
90.0,2,0,0.3864377999998396
0.0,0,0,0.47899649999453686
0.0,2,0,0.500678299998981
0.0,2,0,0.362404699990293
90.0,2,0,0.42748430000210647
0.0,2,0,0.5685210000083316
90.0,0,0,0.5475833999953466
90.0,0,0,0.4238161000102991
90.0,2,0,0.4636517000035383
0.0,0,0,0.5014684000052512
90.0,0,0,0.47568439999304246
0.0,2,0,0.396635500001139
0.0,0,0,0.39363679999951273
