ARBC1_01_12_Gabor Two Decision Covert
Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.45650087
0.0,2,0,0.48606738
90.0,0,0,0.47021586
90.0,2,0,0.34811765
0.0,2,0,0.35862241
90.0,0,0,0.42694694
90.0,0,0,0.48318556
0.0,0,0,0.41517504
0.0,0,0,0.3791532
0.0,2,0,0.4895081
0.0,2,0,0.41870152
90.0,2,0,0.5801349
0.0,0,0,0.78871952
0.0,2,0,0.42753013
0.0,2,0,0.31898622
0.0,2,0,0.35122429
90.0,0,0,0.42932232
90.0,0,0,0.36594638
90.0,0,0,0.48022949
0.0,0,0,0.47372534
90.0,2,0,0.54542108
90.0,0,0,0.48085391
90.0,2,0,0.87313741
0.0,2,0,0.35422073
90.0,0,0,0.52801159
90.0,0,0,0.51504171
90.0,2,0,0.36710519
90.0,0,0,0.45205657
90.0,2,0,0.44468705
0.0,0,0,0.74605526
90.0,0,0,0.71131868
0.0,2,0,0.37606197
90.0,0,0,0.36557071
0.0,2,0,0.70308366
0.0,2,0,0.34580151
0.0,0,0,0.29931905
0.0,0,0,0.48423644
0.0,2,0,0.36912592
0.0,0,0,0.38180561
0.0,2,0,0.30662414
0.0,0,0,0.45671147
0.0,0,0,0.40798666
90.0,2,0,0.46025286
0.0,2,0,0.45260082
90.0,2,0,0.40402409
0.0,2,0,0.41411689
0.0,2,0,0.64326802
0.0,0,0,0.33916148
90.0,2,0,0.4412128
90.0,0,0,0.49875334
0.0,2,0,0.35660178
0.0,0,0,0.59507413
90.0,2,0,0.42399443
90.0,0,0,0.48736068
90.0,2,0,0.50456156
90.0,0,0,0.42248787
90.0,2,0,0.30528631
0.0,0,0,0.42912719
90.0,0,0,0.42212051
90.0,0,0,0.4417412
