Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.4904057919920888
90.0,2,0,0.44233154199901037
0.0,2,0,0.424758875000407
90.0,2,0,0.42538091700407676
90.0,2,0,0.45970995801326353
90.0,2,0,0.6201297079969663
0.0,0,0,0.371899374993518
0.0,0,0,0.38213220800389536
0.0,2,0,0.8192304580006748
90.0,2,0,0.5776785000052769
90.0,0,0,0.45443825000256766
0.0,0,0,0.47280562498781364
90.0,2,0,0.5364902090077521
0.0,2,0,0.6111317499889992
90.0,0,0,0.7058334580069641
90.0,0,0,0.5758405840024352
0.0,2,0,0.41719312500208616
0.0,2,0,0.5043895410053665
90.0,2,0,0.4783642910042545
0.0,0,0,0.601025457988726
90.0,0,0,0.6431000839947956
90.0,2,0,0.8984557920048246
90.0,2,0,0.7284690000087721
0.0,0,0,0.5622351670026546
90.0,0,0,1.2348333749978337
0.0,0,0,0.6781807919905987
90.0,2,0,1.1209875000058673
0.0,0,0,0.5775316669896711
0.0,0,0,0.49684274999890476
0.0,0,0,0.8175399169995217
