Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.4090993330000856
90.0,2,0,0.5330045830000927
0.0,0,0,0.4372057499999755
90.0,0,0,0.3809817500000463
0.0,0,0,0.7794189999999617
0.0,2,0,0.7086075829997753
90.0,0,0,0.5954162909997649
90.0,2,0,0.5949868340003377
90.0,2,0,0.7255216670000664
0.0,2,0,0.4927403750002668
0.0,2,0,0.5106945419997828
0.0,2,0,0.5513850840002306
0.0,2,0,0.39869199999975535
0.0,0,0,0.3866572910001196
0.0,0,0,0.35211325000000215
90.0,2,0,0.43936445899998944
0.0,2,0,0.4591496670000197
90.0,2,0,0.6553131249997932
90.0,2,0,0.7139346660001138
90.0,0,0,0.5454669590003505
90.0,0,0,0.39155662500024846
0.0,2,0,0.5767212079999808
0.0,0,0,0.5310332919998473
0.0,2,0,0.6401725000000624
90.0,0,0,0.4147503340000185
90.0,2,0,0.8048210419997304
0.0,0,0,0.3974775420001606
90.0,0,0,0.5918714159997762
0.0,0,0,0.8089185839999118
0.0,0,0,0.5296531670001059
