Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.36161389999324456
90.0,2,0,0.4865298999939114
90.0,2,0,0.5307883999776095
90.0,0,0,0.39558869996108115
90.0,0,0,0.36248200002592057
90.0,0,0,0.41016229998786
0.0,2,0,0.3836406000191346
0.0,2,0,0.4165772999986075
90.0,0,0,0.45084329997189343
0.0,0,0,0.5811947999754921
90.0,0,0,0.5028052999987267
0.0,2,0,0.5279214000329375
90.0,0,0,0.5394768999540247
0.0,2,0,0.4179815999814309
0.0,0,0,0.43266019999282435
0.0,2,0,0.3531051999889314
0.0,2,0,0.37307599995983765
0.0,0,0,0.3914080000249669
90.0,2,0,0.36569210002198815
0.0,2,0,0.43178709998028353
90.0,0,0,0.44020409998483956
0.0,2,0,0.3057046000030823
90.0,0,0,0.40949580003507435
90.0,0,0,0.36219479999272153
0.0,0,0,0.4142405000166036
0.0,2,0,0.43233630002941936
0.0,2,0,0.40397139999549836
90.0,2,0,0.478025600023102
90.0,0,0,0.447418799973093
0.0,0,0,0.4636757999542169
