Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.5914228359999925
90.0,0,0,0.43620160399996166
0.0,0,0,0.5183397830001013
90.0,0,0,0.6071593919998577
0.0,2,0,0.5160888210000394
90.0,0,0,0.5460244479997982
0.0,2,0,0.3814517639998485
90.0,2,0,0.3765265909999016
0.0,2,0,0.4253958890001286
0.0,2,0,0.5552608489999784
0.0,2,0,0.4171969120000085
90.0,2,0,0.45467219700003625
90.0,0,0,0.5352978660000645
0.0,0,0,0.44262480600013987
0.0,0,0,0.41051273199991556
0.0,2,0,0.4027870949998942
90.0,0,0,0.4330389440001454
0.0,2,0,0.4173752029998923
90.0,2,0,0.33965886700002557
90.0,2,0,0.46704521600008775
0.0,0,0,0.4773917210000036
0.0,0,0,0.48725367699989874
90.0,2,0,0.47286275900000874
90.0,2,0,0.49018066999997245
0.0,2,0,0.4559833109999545
90.0,0,0,0.5154388859998562
0.0,2,0,0.4175288779999846
0.0,0,0,0.4972443930000736
90.0,0,0,0.608826936000014
90.0,0,0,0.35430821399995693
90.0,0,0,0.37247824699988996
90.0,0,0,0.41098961400007283
90.0,0,0,0.4358834540000771
0.0,2,0,0.3751729709999836
0.0,0,0,0.3476391159999821
0.0,0,0,0.3845782660000623
0.0,2,0,0.40862029999993865
90.0,0,0,0.3092184880001696
0.0,2,0,0.37466391700013446
90.0,2,0,0.3568536420000328
90.0,2,0,0.47847181899987845
90.0,2,0,0.49079170899995006
0.0,0,0,0.4359305769999082
0.0,0,0,0.5849178450000636
0.0,0,0,0.6689769470001465
0.0,2,0,0.43014904699998624
0.0,0,0,0.36493247899989
0.0,2,0,0.3301988660000461
0.0,2,0,0.37474415099995895
0.0,0,0,0.36730142800001886
90.0,0,0,0.43292149800004154
90.0,2,0,0.3093627169998854
90.0,2,0,0.31207527100013976
0.0,2,0,0.4397311279999485
0.0,0,0,0.4337022429999706
0.0,0,0,0.4123092740001084
90.0,2,0,0.5104308300001321
0.0,0,0,0.49691898700007187
0.0,2,0,0.4664326780000465
0.0,2,0,0.4821984650000104
