Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.5174768379984016
90.0,0,0,0.3322968699976627
0.0,0,0,0.4099177750031231
0.0,0,0,0.37906011100130854
0.0,0,0,0.5116155089999666
0.0,0,0,0.403691515999526
0.0,2,0,0.5861021880009503
0.0,2,0,0.40149655799905304
0.0,0,0,0.4096427699987544
90.0,2,0,0.3552178370009642
0.0,2,0,0.4627865889997338
90.0,0,0,0.39618405399960466
90.0,2,0,0.5860344199973042
0.0,0,0,0.49014454600182944
0.0,0,0,0.7972560840025835
90.0,0,0,0.49357526099993265
0.0,0,0,0.4788615399993432
0.0,2,0,0.4266984570022032
0.0,2,0,0.46380615200178
90.0,2,0,0.49471911000000546
90.0,0,0,0.3351160929996695
0.0,0,0,0.528199157997733
90.0,2,0,0.5164638460009883
0.0,2,0,0.5680184339980769
0.0,2,0,0.4889987460010161
90.0,0,0,0.4142824459995609
0.0,0,0,0.4389128639995761
0.0,2,0,0.4142384549995768
0.0,2,0,0.43887172999893664
90.0,2,0,0.5460441280010855
90.0,2,0,0.6472218109993264
90.0,2,0,0.47645767299763975
90.0,0,0,0.5813466610015894
90.0,2,0,0.518669895001949
0.0,0,0,0.5818102749981335
0.0,0,0,0.4386581920007302
90.0,0,0,0.5144554280013836
0.0,2,0,0.5215021100011654
0.0,0,0,0.5675145040004281
90.0,2,0,0.5496194920015114
0.0,2,0,0.6747135819969117
90.0,0,0,0.545773840000038
0.0,2,0,0.46525227099846234
0.0,2,0,0.6787492619987461
90.0,2,0,0.5931187150017649
90.0,0,0,0.40821218300334294
90.0,2,0,0.45346159800101304
0.0,2,0,0.620803462999902
90.0,2,0,0.5304162350003025
0.0,0,0,0.6267440150004404
90.0,0,0,0.5988899580006546
0.0,2,0,0.6982190480011923
90.0,2,0,0.46201519399983226
0.0,2,0,0.46220434800125076
0.0,0,0,0.39173188700078754
0.0,0,0,0.411189441998431
90.0,0,0,0.47893148499861127
0.0,0,0,0.481406214999879
0.0,2,0,0.42826238299676334
90.0,0,0,0.49989047499911976
