CEPO_01_13_Gabor Two Decision Covert
Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.39751366699999800
0.0,2,0,0.4279196250000720
0.0,2,0,0.37373629100000000
90.0,0,0,0.30998379200002500
90.0,0,0,0.36253704099999600
0.0,0,0,0.5136570829999980
90.0,2,0,0.48943950000000300
0.0,2,0,0.5461925419999720
90.0,0,0,0.34335987500003300
0.0,2,0,0.3348331249999320
90.0,2,0,0.4118121669999940
90.0,2,0,0.5728564999999440
0.0,0,0,0.4686605840000770
0.0,0,0,0.4701059589999660
90.0,2,0,0.4416674580000970
90.0,2,0,0.5002695000000590
0.0,0,0,0.43337450000001400
90.0,0,0,0.34888279200004000
0.0,2,0,0.5053975000000720
0.0,0,0,0.39862033400004300
90.0,2,0,0.44508187500002800
0.0,0,0,0.4414310409999870
90.0,0,0,0.5508827909999350
0.0,0,0,0.48533824999992700
0.0,0,0,0.44032624999999800
0.0,2,0,0.4928820000000090
0.0,0,0,0.4447421659999690
90.0,2,0,0.4099234160000830
90.0,2,0,0.3566018340000030
90.0,2,0,0.44763174999991400
0.0,0,0,0.4080682500000420
0.0,0,0,0.3867302500000280
90.0,2,0,0.4790949579999050
0.0,2,0,0.4998363749998590
0.0,0,0,0.4612908750000320
0.0,2,0,0.49073475000000100
90.0,2,0,0.3869785410001900
90.0,0,0,0.5119044590001070
0.0,2,0,0.4390515420000160
90.0,0,0,0.37282187500000000
90.0,0,0,0.47981341600007
0.0,0,0,0.4822908339999690
0.0,0,0,0.39034633300002500
0.0,0,0,0.40997391600012600
0.0,2,0,0.3993375840000230
90.0,2,0,0.4519454170001610
90.0,0,0,0.4885672500001870
0.0,2,0,0.4423079159998910
90.0,2,0,0.5446208329999540
0.0,0,0,0.42817379199982500
90.0,0,0,0.43614683399982800
0.0,0,0,0.5075607500000390
0.0,0,0,0.49801812500004400
0.0,2,0,0.3928740829999240
0.0,2,0,0.37407995800003800
90.0,0,0,0.39970262499991800
0.0,2,0,0.45066237500009300
0.0,2,0,0.5859484590000650
0.0,2,0,0.4776788330000270
0.0,2,0,0.39379683400011300
