Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.49165574996732175
0.0,2,0,0.6585391669068485
0.0,2,0,0.354206542018801
90.0,2,0,0.542939875042066
0.0,2,0,0.39483016601298004
0.0,2,0,0.40338720893487334
0.0,2,0,0.3825383329531178
0.0,2,0,0.47449712501838803
90.0,2,0,0.4689032919704914
0.0,2,0,0.4386874580522999
0.0,0,0,0.37730279099196196
0.0,0,0,0.38946908293291926
0.0,2,0,0.396277750027366
90.0,2,0,0.4728644579881802
0.0,0,0,0.7836701249470934
0.0,2,0,0.43089179100934416
90.0,0,0,0.46706370904576033
90.0,2,0,0.3679313330212608
90.0,0,0,0.31551862496417016
90.0,0,0,0.3515625
90.0,2,0,0.41890758310910314
0.0,0,0,0.5589036250021309
0.0,0,0,0.4436981660546735
0.0,0,0,0.5037554999580607
0.0,0,0,0.40009270794689655
0.0,0,0,0.389311958104372
0.0,2,0,0.40091816696804017
90.0,0,0,0.5310801670420915
90.0,0,0,0.5631668750429526
0.0,0,0,0.5485054579330608
