Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,2,0,0.482312529
0,2,0,0.374551668
0,2,0,0.454638693
0,0,0,0.410896455
90,0,0,0.38988958
0,0,0,0.392962668
90,0,0,0.368655618
90,2,0,0.499318901
90,0,0,0.355046976
90,0,0,0.350842891
0,2,0,0.39597728
0,0,0,0.429381699
0,2,0,0.459992265
90,2,0,0.572144636
90,2,0,0.34362352
0,0,0,0.950457784
0,0,0,0.413072179
0,0,0,0.372571045
90,2,0,0.375411754
90,2,0,0.463887569
0,2,0,0.40044299
0,2,0,0.456965626
90,0,0,0.540625995
0,2,0,0.920819372
0,0,0,0.413067811
90,0,0,0.391487461
90,0,0,0.449264891
90,0,0,0.433487768
0,2,0,0.4595578
0,2,0,0.640251529
90,0,0,0.399840277
0,0,0,0.356566759
0,0,0,0.314899483
0,2,0,0.267840907
90,2,0,0.329546273
0,0,0,0.405170733
0,2,0,0.361167316
90,0,0,0.346205951
0,0,0,0.300822349
0,0,0,0.302802077
90,0,0,0.341001213
0,2,0,0.378901082
0,2,0,0.434615464
90,0,0,0.339591202
90,0,0,0.309217022
0,2,0,0.390668577
0,0,0,0.445168007
0,0,0,0.58052565
90,2,0,0.505177793
0,2,0,0.80454084
90,0,0,0.358301227
90,0,0,0.464644601
0,2,0,0.385216583
0,2,0,0.301733641
90,2,0,0.40630839
90,2,0,0.499545222
0,2,0,0.48954111
90,0,0,0.305095848
0,2,0,0.888162323
90,2,0,0.485269157
