Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Time Delay/1000
0,2,0,0.391392593,,0.293762593
0,0,0,0.463769107,,0.366139107
90,0,0,0.617932161,,0.520302161
90,0,0,0.551265464,,0.453635464
0,2,0,0.471438072,,0.373808072
90,0,0,0.584345227,,0.486715227
0,0,0,0.556438354,,0.458808354
0,2,0,0.584641267,,0.487011267
0,2,0,0.44450475,,0.34687475
0,2,0,0.366407427,,0.268777427
0,0,0,0.502048833,,0.404418833
90,2,0,0.522811577,,0.425181577
0,0,0,0.669719559,,0.572089559
0,0,0,0.591592869,,0.493962869
90,0,0,0.615898569,,0.518268569
0,0,0,0.519884707,,0.422254707
0,0,0,0.528797974,,0.431167974
0,2,0,0.537898307,,0.440268307
90,2,0,0.649527808,,0.551897808
90,0,0,0.592380819,,0.494750819
90,2,0,0.588202622,,0.490572622
0,2,0,0.511974452,,0.414344452
0,2,0,0.531428639,,0.433798639
90,2,0,0.559600009,,0.461970009
90,2,0,0.602180174,,0.504550174
90,2,0,0.562172119,,0.464542119
90,2,0,0.557209867,,0.459579867
90,0,0,0.647636861,,0.550006861
90,0,0,0.578693606,,0.481063606
90,0,0,0.629912182,,0.532282182
