Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.6124133199919015
0.0,0,0,0.3606407690094784
0.0,2,0,0.3693030079593882
0.0,0,0,0.4307837830274366
90.0,0,0,0.4340330080012791
90.0,2,0,0.4295118619920686
0.0,0,0,0.4562845299951732
90.0,2,0,0.4309185789898038
90.0,2,0,0.5973053610068746
90.0,0,0,0.3891418440034613
90.0,2,0,0.3782604410080239
0.0,2,0,0.459321397007443
0.0,2,0,0.3866854900261387
0.0,2,0,0.36865077004767954
0.0,2,0,0.4027822859934531
90.0,0,0,0.4202736300067045
90.0,2,0,0.41510386497247964
90.0,0,0,0.35831870697438717
0.0,0,0,0.400050216994714
0.0,0,0,0.4299793989630416
90.0,0,0,0.44492590095615014
0.0,2,0,0.4135539749986492
0.0,0,0,0.40774016396608204
0.0,2,0,0.32947150303516537
90.0,2,0,0.46803442703094333
0.0,2,0,0.39030266704503447
90.0,0,0,0.4699955849791877
90.0,0,0,0.6221907029976137
90.0,2,0,0.40179864095989615
0.0,0,0,0.40951272001257166
0.0,0,0,0.43803917698096484
0.0,0,0,0.3857359960093163
0.0,0,0,0.4335036620032042
90.0,0,0,0.31398201803676784
90.0,2,0,0.46956455800682306
90.0,2,0,0.36957768094725907
90.0,0,0,0.3475666560116224
90.0,2,0,0.35808580700540915
0.0,2,0,0.5634053570101969
90.0,0,0,0.4744122880510986
90.0,0,0,0.464572744036559
0.0,0,0,0.448471027018968
90.0,2,0,0.48765201499918476
0.0,2,0,0.3771809530444443
90.0,0,0,0.4109892059932463
90.0,2,0,0.7435908030020073
90.0,2,0,0.4265113659785129
90.0,2,0,0.33247771504102275
0.0,2,0,0.3469084299867973
90.0,0,0,0.3134842379949987
90.0,2,0,0.32696647598640993
90.0,0,0,0.35620906797703356
90.0,2,0,0.5006789779872634
0.0,2,0,0.35255266301101074
0.0,0,0,0.3671093110460788
0.0,0,0,0.3509517770144157
90.0,2,0,0.4335343890124932
0.0,0,0,0.3444498280296102
0.0,0,0,0.3794227340258658
0.0,2,0,0.3811092299874872
