Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.5282334580006136
0.0,0,0,0.546612959002232
0.0,0,0,0.4000799579989689
90.0,0,0,0.5161422080018383
0.0,2,0,0.6188552089988661
0.0,0,0,0.5732358750028652
90.0,0,0,0.4368486250023125
0.0,2,0,0.5150041249980859
0.0,0,0,0.5127022499982559
0.0,0,0,0.48443191700062016
0.0,2,0,0.5105924590025097
90.0,0,0,0.5091801250018761
90.0,2,0,0.509862584000075
90.0,2,0,0.4386768750009651
0.0,2,0,0.6074794999985897
0.0,2,0,0.5312093749998894
90.0,0,0,0.5242624999991676
0.0,2,0,0.5264703330030898
90.0,2,0,0.7865977500005101
0.0,0,0,0.6086087909970956
0.0,2,0,0.5091664169995056
0.0,2,0,0.41475912500027334
90.0,0,0,0.5016794170005596
90.0,2,0,1.1946406669994758
90.0,0,0,0.5951508750003995
90.0,0,0,0.4847247919969959
90.0,2,0,0.4199530000005325
90.0,2,0,0.45793383400086896
0.0,0,0,0.5501993750003749
90.0,0,0,0.4490052500004822
