Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,2,0,0.857470592
90,2,0,0.770277572
0,2,0,0.532532022
90,2,0,0.725326543
90,2,0,0.616230378
90,2,0,0.509890038
90,0,0,0.600546084
0,0,0,0.579171812
0,0,0,0.505110545
0,0,0,0.514527729
90,2,0,0.490395363
90,2,0,0.573176157
90,0,0,0.675181231
0,0,0,0.44540431
0,0,0,0.36976433
90,0,0,0.441128821
90,2,0,0.508288505
90,0,0,0.635958404
0,2,0,0.452878296
90,0,0,1.709294895
90,2,0,0.610991676
90,0,0,0.544662365
90,0,0,0.622102145
0,2,0,0.676537293
90,0,0,0.611604271
90,0,0,0.575834935
90,0,0,0.685626563
90,2,0,0.795994148
0,2,0,0.465989929
90,2,0,0.534601511
