Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.2902524999999514
0.0,0,0,0.34892600000000584
0.0,0,0,0.3598117499999489
0.0,0,0,0.3071237919999703
0.0,2,0,0.2595469589999766
0.0,2,0,0.2741364580000436
0.0,2,0,0.2488009580000039
0.0,0,0,0.27632583399997657
0.0,2,0,0.2679641249999918
0.0,0,0,0.3357600829999683
0.0,2,0,0.481474124999977
0.0,0,0,0.34340116700002454
90.0,2,0,0.6938402920000044
0.0,0,0,0.3598367499999995
0.0,0,0,0.35833370900002137
0.0,0,0,0.27048587500001986
90.0,0,0,0.49898654100002204
0.0,2,0,0.28224729099997603
0.0,2,0,0.32750491699999884
0.0,2,0,0.5743863330000067
90.0,0,0,0.3688882499999977
0.0,2,0,0.32684195800004545
90.0,2,0,0.4055017499999849
0.0,0,0,0.3818699579999816
90.0,2,0,0.4300318749999974
90.0,2,0,0.4832325419999961
90.0,2,0,0.3201255000000174
90.0,2,0,0.3056530420000172
0.0,0,0,0.426785332999998
90.0,0,0,0.37419045799998685
