Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Reaction Time (ms),- Avg Time Delay (ms),,Average (ms),438.1451584
0,0,0,0.662152814,,662.152814,661.6710094,,Standard Deviation (ms),90.31645715
90,2,0,0.420674537,,420.674537,420.1927324,,Standard Error (ms),11.65980448
90,2,0,0.409222954,,409.222954,408.7411494,,,
90,0,0,0.423985459,,423.985459,423.5036544,,,
0,2,0,0.541003224,,541.003224,540.5214194,,,
90,0,0,0.577293044,,577.293044,576.8112394,,,
90,2,0,0.50569863,,505.69863,505.2168254,,,
90,0,0,0.380831958,,380.831958,380.3501534,,,
0,2,0,0.439510615,,439.510615,439.0288104,,,
90,2,0,0.443716906,,443.716906,443.2351014,,,
90,0,0,0.435001093,,435.001093,434.5192884,,,
90,0,0,0.394749834,,394.749834,394.2680294,,,
90,0,0,0.342454762,,342.454762,341.9729574,,,
90,2,0,0.329875148,,329.875148,329.3933434,,,
0,0,0,0.598252226,,598.252226,597.7704214,,,
90,0,0,0.36587283,,365.87283,365.3910254,,,
90,0,0,0.369596021,,369.596021,369.1142164,,,
90,2,0,0.376334578,,376.334578,375.8527734,,,
0,2,0,0.535653889,,535.653889,535.1720844,,,
90,0,0,0.388133211,,388.133211,387.6514064,,,
90,2,0,0.42185542,,421.85542,421.3736154,,,
90,0,0,0.33274643,,332.74643,332.2646254,,,
90,0,0,0.350931037,,350.931037,350.4492324,,,
0,0,0,0.346136592,,346.136592,345.6547874,,,
90,2,0,0.39732522,,397.32522,396.8434154,,,
0,2,0,0.442902332,,442.902332,442.4205274,,,
0,0,0,0.46482351,,464.82351,464.3417054,,,
0,2,0,0.376612238,,376.612238,376.1304334,,,
0,2,0,0.379205106,,379.205106,378.7233014,,,
0,2,0,0.406300554,,406.300554,405.8187494,,,
0,2,0,0.347002726,,347.002726,346.5209214,,,
0,0,0,0.342722382,,342.722382,342.2405774,,,
0,0,0,0.494170594,,494.170594,493.6887894,,,
0,2,0,0.355403877,,355.403877,354.9220724,,,
0,2,0,0.337476052,,337.476052,336.9942474,,,
90,2,0,0.54313341,,543.13341,542.6516054,,,
0,2,0,0.406316406,,406.316406,405.8346014,,,
90,0,0,0.436090705,,436.090705,435.6089004,,,
90,0,0,0.391490382,,391.490382,391.0085774,,,
90,0,0,0.398914954,,398.914954,398.4331494,,,
90,2,0,0.419689155,,419.689155,419.2073504,,,
0,2,0,0.436761317,,436.761317,436.2795124,,,
0,2,0,0.398588175,,398.588175,398.1063704,,,
90,2,0,0.444140656,,444.140656,443.6588514,,,
90,2,0,0.44877449,,448.77449,448.2926854,,,
90,0,0,0.448172523,,448.172523,447.6907184,,,
0,0,0,0.484319643,,484.319643,483.8378384,,,
90,0,0,0.448245404,,448.245404,447.7635994,,,
0,2,0,0.712518917,,712.518917,712.0371124,,,
0,0,0,0.50631306,,506.31306,505.8312554,,,
90,0,0,0.541481606,,541.481606,540.9998014,,,
0,0,0,0.408508642,,408.508642,408.0268374,,,
0,2,0,0.408167462,,408.167462,407.6856574,,,
0,2,0,0.743305833,,743.305833,742.8240284,,,
90,2,0,0.410270941,,410.270941,409.7891364,,,
90,2,0,0.373131382,,373.131382,372.6495774,,,
90,0,0,0.386632803,,386.632803,386.1509984,,,
90,0,0,0.411031096,,411.031096,410.5492914,,,
90,0,0,0.380502309,,380.502309,380.0205044,,,
90,0,0,0.595488711,,595.488711,595.0069064,,,
