Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.47108912497060373
90.0,0,0,0.3704307500156574
90.0,0,0,0.43921829102328047
90.0,2,0,0.3767831660225056
90.0,0,0,0.37636824999935925
90.0,0,0,0.4093152499990538
0.0,0,0,0.4501540000201203
90.0,2,0,0.5647087080287747
0.0,0,0,0.5743188749765977
0.0,0,0,0.41286466602468863
0.0,2,0,0.38032958400435746
0.0,0,0,0.40141599997878075
0.0,2,0,0.45271170896012336
90.0,2,0,0.3280629999935627
90.0,2,0,0.3180993749992922
0.0,0,0,0.49371195799903944
0.0,2,0,0.5079227079986595
0.0,2,0,0.4598947500344366
0.0,2,0,0.4430361669510603
90.0,0,0,0.571069959027227
90.0,0,0,0.35434104199521244
90.0,0,0,0.3874125410220586
0.0,0,0,0.5089681250392459
90.0,2,0,0.4316777079948224
90.0,2,0,0.6126891669700854
90.0,0,0,0.8470447500003502
90.0,0,0,0.5242395409732126
90.0,2,0,0.4424347919994034
0.0,2,0,0.41950454202014953
0.0,2,0,0.5231094589689746
