Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Delay/1000,Reaction Time (ms),Average,Standard Deviation
0,2,0,0.611417969,,0.567917969,567.917969,0.443446097,0.085944542
0,2,0,0.50577774,,0.46227774,462.27774,,
90,0,0,0.495827278,,0.452327278,452.327278,,
90,0,0,0.698835968,,0.655335968,655.335968,,
0,0,0,0.497841878,,0.454341878,454.341878,,
90,2,0,0.523577003,,0.480077003,480.077003,,
90,0,0,0.387119875,,0.343619875,343.619875,,
0,2,0,0.547537179,,0.504037179,504.037179,,
90,2,0,0.50419518,,0.46069518,460.69518,,
90,0,0,0.454777552,,0.411277552,411.277552,,
90,0,0,0.484321728,,0.440821728,440.821728,,
90,0,0,0.356672437,,0.313172437,313.172437,,
90,0,0,0.412570424,,0.369070424,369.070424,,
90,0,0,0.402875339,,0.359375339,359.375339,,
0,2,0,0.514790877,,0.471290877,471.290877,,
90,0,0,0.415006545,,0.371506545,371.506545,,
0,0,0,0.42506476,,0.38156476,381.56476,,
90,2,0,0.403884823,,0.360384823,360.384823,,
0,2,0,0.468446188,,0.424946188,424.946188,,
0,2,0,0.515111051,,0.471611051,471.611051,,
90,2,0,0.429574507,,0.386074507,386.074507,,
0,2,0,0.513807018,,0.470307018,470.307018,,
0,2,0,0.410659955,,0.367159955,367.159955,,
90,0,0,0.474933591,,0.431433591,431.433591,,
0,2,0,0.447393941,,0.403893941,403.893941,,
90,2,0,0.416776714,,0.373276714,373.276714,,
0,0,0,0.479655177,,0.436155177,436.155177,,
90,2,0,0.478844654,,0.435344654,435.344654,,
0,0,0,0.733307974,,0.689807974,689.807974,,
90,0,0,0.597777599,,0.554277599,554.277599,,
