Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.5084518029980245
0.0,2,0,0.5245699619990773
0.0,0,0,0.44652074999612523
0.0,0,0,0.30346653499873355
0.0,2,0,0.48057218000030844
90.0,0,0,0.38647909199789865
90.0,0,0,0.5058518009973341
90.0,0,0,0.43208715799846686
0.0,0,0,0.3753667420023703
0.0,2,0,0.4434496260000742
0.0,0,0,0.4836162270003115
0.0,2,0,0.4131563300034031
90.0,2,0,0.583309123001527
0.0,2,0,0.4076463560049888
90.0,2,0,0.439411220002512
0.0,0,0,0.5778001389990095
0.0,2,0,0.45430012800352415
0.0,0,0,0.3666358499976923
0.0,2,0,0.432278178006527
0.0,0,0,0.3385212059947662
0.0,0,0,0.3917996119998861
0.0,2,0,0.35888660999626154
90.0,0,0,0.4572785569980624
90.0,0,0,0.48887396499776514
0.0,0,0,0.4273731260036584
90.0,2,0,0.4839584889996331
0.0,0,0,0.44163528199715074
0.0,2,0,0.4284780359957949
90.0,2,0,0.5259837089979555
0.0,2,0,0.4155893400020432
