Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.4417830999882426
90.0,2,0,0.37150959999416955
0.0,2,0,0.4732942999980878
0.0,0,0,0.3846769000083441
0.0,2,0,0.43478150000737514
90.0,2,0,0.37027510000916664
0.0,2,0,0.34335060000012163
90.0,0,0,0.3035231000103522
90.0,0,0,0.40733909999835305
0.0,2,0,0.32389580000017304
90.0,0,0,0.40512239999952726
0.0,2,0,0.4392624000029173
90.0,0,0,0.30181160000211094
0.0,2,0,0.42807020001055207
0.0,0,0,0.381607500006794
90.0,0,0,0.33557519999158103
90.0,0,0,0.35300719999941066
0.0,0,0,0.33089350000955164
90.0,2,0,0.37017150000610854
0.0,0,0,0.3030706999998074
0.0,2,0,0.33189000000129454
0.0,2,0,0.3810802999942098
90.0,0,0,0.5346974000131013
90.0,0,0,0.31557980000798125
90.0,2,0,0.29654199999640696
0.0,2,0,0.3767280999891227
0.0,0,0,0.3003154000034556
90.0,0,0,0.33195989999512676
0.0,2,0,0.3641693999961717
0.0,2,0,0.37627120000252035
