Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Delay
90,2,0,0.461254805,,0.390254805
0,2,0,0.480403855,,0.409403855
90,2,0,0.414059567,,0.343059567
90,2,0,0.490037885,,0.419037885
0,2,0,0.632758956,,0.561758956
90,2,0,0.501325425,,0.430325425
90,2,0,0.459855103,,0.388855103
90,2,0,0.518886693,,0.447886693
0,2,0,0.526975875,,0.455975875
0,2,0,0.822109421,,0.751109421
0,2,0,0.422362874,,0.351362874
0,2,0,0.410858049,,0.339858049
0,2,0,0.452415923,,0.381415923
0,2,0,0.321671418,,0.250671418
90,2,0,0.527551868,,0.456551868
