Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.24737645899995200
90.0,0,0,0.311719749999952
0.0,0,0,0.26261858300006200
90.0,2,0,0.33660741599999300
90.0,2,0,0.5254030420001070
90.0,0,0,0.6189337089999750
0.0,2,0,0.35664587500002700
90.0,2,0,0.47685516599995000
0.0,0,0,0.4547550409999990
90.0,0,0,0.2722407919999340
0.0,2,0,0.4697903750000020
0.0,2,0,0.5064404589999190
0.0,0,0,0.5491600830000610
0.0,2,0,0.5825889999999850
0.0,2,0,0.4120972089999670
90.0,2,0,0.518531959000029
90.0,2,0,0.5382340419999990
0.0,0,0,0.46616679199996700
0.0,2,0,0.5540455419999260
0.0,0,0,0.34923250000008500
90.0,0,0,0.5471119999999700
90.0,2,0,0.48323791699999700
0.0,0,0,0.53076266700009
0.0,0,0,0.4797772499999840
0.0,2,0,0.42481774999998800
90.0,0,0,0.4657872079999380
0.0,2,0,0.422091625000121
0.0,0,0,0.4499201250000620
90.0,2,0,0.46290483400002800
0.0,0,0,0.6273273340000290
0.0,2,0,0.28380637500004000
0.0,0,0,0.4257712910000460
90.0,0,0,0.4225746250001520
0.0,0,0,0.4667125829998900
0.0,2,0,0.4068005419999280
90.0,0,0,0.43135016700011900
90.0,0,0,0.44525383299992400
0.0,2,0,0.3003113330000820
0.0,0,0,0.3589060420001720
0.0,0,0,0.3896437920000150
90.0,0,0,0.47864837499992100
0.0,2,0,0.46134645799998
0.0,0,0,0.31587104200002600
0.0,2,0,0.49621829099987700
0.0,0,0,0.3897288330001630
0.0,2,0,0.36874791600007500
0.0,2,0,0.37566966700001100
90.0,0,0,0.4146021670001120
90.0,2,0,0.4478657500001190
0.0,0,0,0.45244324999998800
90.0,0,0,0.524252875000002
0.0,2,0,0.30681808300005300
90.0,0,0,0.5590434579999060
90.0,2,0,0.4853667500001390
0.0,2,0,0.457393791999948
90.0,2,0,0.47457620900013400
0.0,2,0,0.48426887499999800
90.0,0,0,0.5267795830000070
90.0,2,0,0.42415204200006000
0.0,2,0,0.41863483299994200
