Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,2,0,0.619824524
90,0,0,0.457033221
90,0,0,0.421939189
0,0,0,0.480394599
90,2,0,0.581391404
0,2,0,0.706679674
90,2,0,0.49020046
90,2,0,0.296301564
90,2,0,0.556966335
90,0,0,0.308952927
90,0,0,0.436420067
90,0,0,0.445056132
0,2,0,0.493694326
90,2,0,0.468147709
0,0,0,0.710115514
90,0,0,1.005541869
0,0,0,0.546277161
90,0,0,0.516160706
0,0,0,0.538000634
0,0,0,0.580095491
90,0,0,0.518988455
90,2,0,0.556237804
90,0,0,0.510880923
0,2,0,0.516507651
0,2,0,0.508087533
90,0,0,0.483310003
0,2,0,0.516116259
90,2,0,0.568949672
0,2,0,0.564872153
90,2,0,0.449880038
90,0,0,0.4029687
90,2,0,0.35949678
90,0,0,0.39621335
90,0,0,0.28356184
90,2,0,0.34826881
90,0,0,0.42330413
90,2,0,0.3675094
90,2,0,0.37105105
0,2,0,0.44472749
90,0,0,0.46279129
0,0,0,0.58147528
0,2,0,0.46951625
0,2,0,0.51197307
0,0,0,0.281403
0,0,0,0.70714716
0,2,0,0.36131455
0,0,0,0.35898121
0,0,0,0.30444848
0,2,0,0.33951668
90,2,0,0.4770034
0,2,0,0.60703699
0,0,0,0.51587505
0,0,0,0.3903558
90,2,0,0.409377
0,0,0,0.5458371
90,2,0,0.45869377
0,0,0,0.59909649
90,2,0,0.43872274
90,2,0,0.58463363
0,0,0,0.39196078
