Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.31585650000488386
0.0,2,0,0.2924580420003622
0.0,0,0,0.33302174999698764
90.0,2,0,0.3176992920052726
90.0,0,0,0.5048576250046608
0.0,0,0,0.37835937500494765
0.0,0,0,0.42319687500275904
0.0,2,0,0.370654291997198
90.0,2,0,0.3576736249960959
0.0,2,0,0.406446416003746
90.0,0,0,0.31362020799861057
90.0,0,0,0.3900577090025763
0.0,2,0,0.3917217080015689
90.0,2,0,0.4411188329977449
90.0,2,0,0.41988954200496664
90.0,0,0,0.43847366699628765
90.0,0,0,0.37229424999532057
90.0,0,0,0.34789174999605166
90.0,2,0,0.3809077920013806
0.0,2,0,0.2445638329954818
90.0,2,0,0.41546199999720557
90.0,0,0,0.39116295800340595
0.0,0,0,0.3922714169966639
0.0,2,0,0.5439909580018139
90.0,2,0,0.4424235839978792
90.0,0,0,0.345121416998154
90.0,2,0,0.32678466699871933
90.0,0,0,0.34538254200015217
90.0,2,0,0.48049475000152597
90.0,0,0,0.38562070799525827
