Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.7717290000000503
0.0,0,0,0.5152862000104506
90.0,2,0,0.44636040000477806
90.0,2,0,0.4343457000068156
0.0,0,0,0.6258148000051733
0.0,0,0,0.5471638000017265
45.0,0,0,0.7483880999934627
0.0,0,0,0.516853799999808
45.0,2,0,0.5714851999946404
45.0,2,0,0.6043685000040568
90.0,2,0,1.0600292000017362
0.0,0,0,0.463827699990361
0.0,2,0,0.5518821000005119
90.0,0,0,0.3967140000022482
0.0,0,0,0.46262609999394044
90.0,2,0,0.469828499990399
45.0,0,0,0.34303340000042226
90.0,2,0,0.5492276000004495
0.0,2,0,0.39948700000240933
45.0,0,0,0.4769016000063857
