ARBC1_01_12_Gabor Three Decision Covert
Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.84988785
45.0,0,0,0.60136306
0.0,0,0,0.80507973
0.0,2,0,0.51755799
45.0,2,0,0.62215767
90.0,0,0,0.66275317
0.0,0,0,0.60009718
0.0,0,0,0.90362594
45.0,2,0,0.29169883
0.0,2,0,0.52311064
0.0,0,0,0.4963537
45.0,2,0,0.3304217
45.0,2,0,0.42236174
90.0,0,0,0.51595728
45.0,2,0,0.50886066
45.0,0,0,0.488817
45.0,0,0,0.41510805
45.0,0,0,0.46010012
90.0,2,0,0.45148785
0.0,2,0,0.44542692
0.0,2,0,0.46632789
45.0,2,0,0.52707304
90.0,0,0,0.99154072
90.0,2,0,0.51444831
45.0,2,0,0.56475751
90.0,0,0,0.52741188
90.0,0,0,0.53873751
0.0,0,0,0.55437279
90.0,0,0,0.45726654
0.0,2,0,0.47062408
45.0,2,0,0.50655099
45.0,0,0,0.34285597
0.0,2,0,0.7177494
90.0,2,0,0.73675827
0.0,2,0,0.55694641
90.0,0,0,0.46954745
45.0,2,0,0.63437305
90.0,0,0,0.73358499
0.0,0,0,0.40884858
45.0,0,0,0.56806775
0.0,2,0,0.77251935
45.0,2,0,0.64626402
90.0,0,0,0.76970089
0.0,2,0,0.44454521
45.0,2,0,0.52584159
45.0,2,0,0.59062427
45.0,0,0,0.32885009
90.0,2,0,0.46315692
90.0,2,0,0.56264312
90.0,0,0,0.40594442
45.0,0,0,0.49602625
90.0,0,0,0.86176898
0.0,0,0,0.43661188
0.0,0,0,0.49634053
0.0,2,0,0.31971319
0.0,2,0,0.45233371
0.0,0,0,0.35674574
45.0,0,0,0.40924954
45.0,0,0,0.41966489
0.0,2,0,0.42328353
