Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.944093125013751
90.0,2,0,0.38769554199825507
0.0,2,0,0.5894988330110209
45.0,2,0,0.4559621660009725
45.0,2,0,0.7469411670026602
45.0,0,0,0.856737082998734
0.0,2,0,0.574791416991502
0.0,0,0,0.5687389999948209
0.0,0,0,0.45483062499260996
45.0,0,0,0.7392925419990206
45.0,0,0,0.8694399159867316
90.0,0,0,0.41957812500186265
90.0,2,0,0.6382133750012144
0.0,2,0,0.5501878749928437
45.0,0,0,0.6010088749899296
45.0,0,0,0.5047730829974171
45.0,2,0,0.5073642079951242
45.0,0,0,0.5438303749979241
0.0,0,0,0.5819272920052754
90.0,2,0,0.6291463749948889
