Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,0,0.6915997910000442
45.0,2,0,0.3885662909997336
0.0,2,0,0.7986495410000316
0.0,0,0,0.5424202499998501
90.0,0,0,0.6335749589998159
90.0,0,0,0.6767542500001582
45.0,2,0,0.3701110420001896
90.0,0,0,0.6123817499997131
90.0,2,0,0.48326508299987836
90.0,2,0,0.4631532920002428
45.0,0,0,0.38888658400037457
90.0,2,0,1.0546304579997923
45.0,2,0,0.6168416669997896
45.0,0,0,0.4580797500002518
0.0,0,0,0.7586096250001901
0.0,2,0,0.5706348749999961
0.0,2,0,0.43103866699993887
0.0,2,0,0.4539628329998777
90.0,0,0,0.986647707999964
45.0,0,0,0.5285832499998833
