Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.43456800002604723
45.0,0,0,0.6527493000030518
0.0,2,0,0.6591368000372313
45.0,2,0,0.750243499991484
0.0,0,0,0.5816223999718204
45.0,2,0,0.5046958000166342
45.0,2,0,0.639088099997025
90.0,2,0,0.816657799994573
90.0,0,0,0.5874995000194758
0.0,0,0,0.7200483999913558
45.0,0,0,0.8110487999510951
45.0,0,0,0.4981378000229597
0.0,2,0,0.4269188999896869
0.0,2,0,0.488248800043948
90.0,0,0,0.6951074000098743
45.0,2,0,0.7354683000012301
0.0,0,0,0.6245662000146694
90.0,0,0,0.731260700034909
0.0,2,0,0.5797740999842063
90.0,2,0,0.7139620999805629
