Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.8182866780000495
0.0,2,0,0.5332072660000904
0.0,2,0,0.6071634269999322
90.0,2,0,0.5804465480000545
45.0,2,0,0.3804077039999356
45.0,0,0,0.40460525399998915
45.0,2,0,0.4263710580000861
0.0,0,0,0.5746217670000533
90.0,0,0,0.5173346449998917
45.0,2,0,0.5637170099998912
0.0,0,0,0.5835055370000646
45.0,2,0,0.6058273920000374
90.0,0,0,0.7831398769999396
45.0,2,0,0.6157775950000541
90.0,2,0,0.6399619839999104
90.0,0,0,0.6539975519999643
45.0,0,0,0.6158970730000419
90.0,0,0,0.5653581609999492
0.0,2,0,0.5733729529999891
0.0,0,0,0.769234496000081
45.0,2,0,0.6104498340000646
45.0,0,0,0.5014506010002151
0.0,2,0,0.5075074520000271
90.0,0,0,0.4373656310003753
45.0,0,0,0.5486235690000285
45.0,2,0,0.6162787389998812
45.0,2,0,0.5404378459998043
45.0,0,0,0.4844390960001874
45.0,2,0,0.5389653170000201
0.0,0,0,0.6187005950000639
0.0,2,0,0.6932541860001038
0.0,2,0,0.5723235689997637
90.0,2,0,0.6866660440000487
90.0,0,0,0.6971655310003371
90.0,2,0,0.5739224520002608
45.0,0,0,0.6073887809998268
45.0,0,0,0.6419688239998322
0.0,0,0,0.5692580170002657
90.0,0,0,0.7218907090000357
0.0,2,0,0.6184512560002986
45.0,2,0,0.5201852909999616
90.0,2,0,0.38340601100026106
0.0,0,0,0.5721558430000186
90.0,2,0,0.4963565429998198
45.0,0,0,0.44480049200001304
45.0,0,0,0.5231622629999038
45.0,0,0,0.5330151410003054
45.0,0,0,0.4480764680001812
45.0,0,0,0.39239737299976696
45.0,2,0,0.5647263539999585
90.0,0,0,0.7603005370001483
90.0,2,0,0.5795274850001988
45.0,2,0,0.574820759999966
45.0,0,0,0.7247566539999752
45.0,0,0,0.6166868479999721
90.0,0,0,0.5472230489999674
90.0,2,0,0.745184024000082
0.0,2,0,0.4769484230000671
90.0,2,0,0.6237279659999331
90.0,2,0,0.39831820400013385
