Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.651149921999604
45.0,2,0,0.42077148699900135
0.0,0,0,0.6365294150018599
0.0,2,0,0.48054372600017814
90.0,2,0,0.4517127110011643
0.0,2,0,0.38836679499945603
45.0,0,0,0.46919861000060337
0.0,2,0,0.5305016899983457
45.0,2,0,0.53853228799926
90.0,2,0,0.6331393220025348
0.0,2,0,0.8706487380004546
90.0,2,0,0.7096999420027714
90.0,0,0,0.5194278519993532
90.0,0,0,0.4450183329972788
0.0,2,0,0.5873877569974866
45.0,0,0,0.7212461690032796
0.0,2,0,0.5281857070003753
45.0,2,0,0.6782665300015651
0.0,2,0,0.6221408269993844
90.0,0,0,0.6314087840000866
90.0,0,0,0.5570309670001734
0.0,2,0,0.4841105589985091
0.0,0,0,0.6702735320031934
45.0,0,0,0.6882184729984147
0.0,0,0,0.5950677000000724
0.0,2,0,0.7124557999995886
0.0,2,0,0.5103739070000302
0.0,2,0,0.41353786200124887
90.0,0,0,0.4375702290017216
0.0,0,0,0.6330268450001313
45.0,2,0,0.518989516000147
45.0,0,0,0.6842141460001585
90.0,0,0,0.5679981329994916
45.0,0,0,0.4715767540001252
90.0,0,0,0.6921129549991747
45.0,0,0,0.7822322100000747
45.0,2,0,0.5669636230013566
0.0,2,0,0.5866175299997849
45.0,0,0,1.172406019999471
90.0,0,0,1.1869749920006143
90.0,0,0,0.48146428800100693
90.0,0,0,0.4208840620012779
45.0,2,0,0.8590523380007653
90.0,2,0,0.7438956219993997
90.0,0,0,0.6228190469992114
90.0,2,0,0.981819696000457
45.0,2,0,0.5635039199987659
90.0,0,0,0.45026550999682513
45.0,2,0,0.6446597629983444
0.0,0,0,0.5447757200017804
90.0,0,0,0.6287452579999808
0.0,2,0,0.5920562929968582
45.0,0,0,0.5757970749982633
90.0,2,0,0.6642726509999193
45.0,2,0,0.7152642959990771
45.0,0,0,0.7467112320009619
45.0,2,0,0.5505809880014567
90.0,0,0,1.1862884429974656
0.0,0,0,0.6392645139967499
90.0,0,0,0.6537144200010516
