CEPO_01_13_Gabor Three Decision Covert
Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.5551145419999560
90.0,2,0,0.5385210409999670
90.0,0,0,0.5010774580000540
45.0,0,0,0.6295529579999770
0.0,2,0,0.5099235420000240
45.0,0,0,0.5479355830000260
90.0,2,0,0.5174387089998620
90.0,0,0,0.5956387919998180
45.0,2,0,0.4777675840000480
45.0,2,0,0.6713629589999070
90.0,0,0,0.5557407090000200
0.0,2,0,0.5418566659998310
45.0,2,0,0.473011791999852
0.0,0,0,0.6054420829998440
45.0,0,0,0.7316496669998290
0.0,2,0,0.7946111249998470
90.0,0,0,0.5037063750000930
0.0,2,0,0.6019315000000920
90.0,0,0,0.5663804579999120
0.0,0,0,0.5775436250000890
0.0,0,0,0.6073790840000580
90.0,0,0,0.640538959000196
90.0,0,0,0.5290898329999440
0.0,0,0,0.7817374579999520
45.0,2,0,0.5475285830000300
45.0,0,0,0.546995958000025
0.0,2,0,0.5032027079998900
45.0,2,0,0.5855647500000030
45.0,2,0,0.5064554999999020
90.0,2,0,0.5239027089999130
45.0,2,0,0.5540154169998460
0.0,2,0,0.4556771249999660
90.0,0,0,0.7068775000000190
90.0,0,0,0.4726775839999390
90.0,2,0,0.4394616669999320
45.0,0,0,0.5054230420000750
45.0,0,0,0.44189379099998400
45.0,2,0,0.49258045800002000
45.0,0,0,0.5876729579999850
90.0,2,0,0.5723674580001440
0.0,2,0,0.5261154170000280
45.0,2,0,0.5609309170001780
45.0,0,0,0.5089472079998810
0.0,2,0,0.53474191600003
0.0,2,0,0.43544020800004500
45.0,2,0,0.41766204199984700
90.0,0,0,0.6695822080000650
0.0,0,0,0.4768125839998450
0.0,2,0,0.5291270830000490
90.0,2,0,0.7265920840000040
45.0,2,0,0.5098455830000150
0.0,0,0,0.5619847089999440
45.0,0,0,0.6971840830001380
0.0,2,0,0.5583058750000870
0.0,0,0,0.45136508299992800
0.0,0,0,0.6137757919998420
45.0,0,0,0.5336450840000000
0.0,0,0,0.5627804999999170
90.0,0,0,0.9131642089998880
0.0,2,0,0.5029990000000450
