Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.4325302919605747
90.0,2,0,0.39605637500062585
90.0,0,0,0.9483988339779899
0.0,0,0,0.640616292017512
45.0,0,0,0.6389590409817174
0.0,2,0,0.6222182089695707
0.0,2,0,0.6374945410061628
0.0,2,0,0.5573108328972012
90.0,0,0,0.5794858749723062
45.0,0,0,0.6765770839992911
90.0,2,0,0.518280667020008
90.0,0,0,0.4980107080191374
90.0,2,0,0.8204001659760252
45.0,0,0,0.5986524999607354
45.0,2,0,0.4056498339632526
0.0,0,0,0.6127300410298631
45.0,0,0,0.6306589170126244
45.0,2,0,0.4723962920252234
0.0,0,0,0.6498126250226051
45.0,2,0,0.8239547499688342
