Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Time Delay/1000
0,0,0,0.926680583,,0.829050583
45,0,0,0.911199056,,0.813569056
90,0,0,0.764885086,,0.667255086
45,2,0,0.636028873,,0.538398873
0,2,0,0.875135313,,0.777505313
45,0,0,0.793125344,,0.695495344
45,2,0,0.612730651,,0.515100651
90,0,0,0.870485644,,0.772855644
90,2,0,0.717268385,,0.619638385
45,0,0,0.791239914,,0.693609914
45,2,0,0.725310891,,0.627680891
0,0,0,0.642017481,,0.544387481
45,0,0,0.860232535,,0.762602535
0,2,0,0.836510121,,0.738880121
90,0,0,0.742010076,,0.644380076
0,2,0,0.78975255,,0.69212255
0,2,0,0.637961697,,0.540331697
45,0,0,0.683341069,,0.585711069
90,2,0,0.77526748,,0.67763748
45,2,0,0.746988945,,0.649358945
