Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.612360537998029
90.0,2,0,0.4154646539973328
90.0,2,0,0.3746072740032105
0.0,2,0,0.4648422419995768
90.0,0,0,0.4294761139899492
45.0,2,0,0.6054147480026586
90.0,2,0,0.43629442401288543
90.0,0,0,0.5338952640013304
45.0,0,0,0.494615696996334
0.0,2,0,0.633813155000098
90.0,0,0,0.5660240739962319
45.0,0,0,0.5446898439986398
45.0,0,0,0.5398553440027172
0.0,0,0,0.5581596289994195
90.0,2,0,0.4784633380040759
45.0,0,0,0.6406026030017529
0.0,2,0,0.535260484990431
90.0,0,0,0.44746502899215557
0.0,0,0,0.5050186209991807
0.0,2,0,0.5515880430029938
