Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,0,0.5142082640086301
0.0,0,0,0.47860894998302683
0.0,2,0,0.4338060040026903
45.0,0,0,0.6171359849977307
90.0,2,0,0.36810501298168674
90.0,2,0,0.6815471519948915
90.0,0,0,0.4806412060279399
45.0,0,0,0.5523816040367819
0.0,0,0,0.558214288961608
0.0,2,0,0.4983132720226422
45.0,0,0,0.6553799909888767
0.0,0,0,0.3883202010183595
0.0,2,0,0.40917100600199774
90.0,2,0,0.3917153989896178
90.0,2,0,0.44549948401981965
45.0,2,0,0.4196016200003214
45.0,0,0,0.4198061039787717
0.0,0,0,0.4104654950206168
0.0,2,0,0.5548010040074587
0.0,2,0,0.3430027280119248
90.0,2,0,0.46205340599408373
90.0,0,0,0.4171466270345263
0.0,2,0,0.4109184740227647
45.0,0,0,0.613655255001504
45.0,2,0,0.4339134049951099
90.0,0,0,0.5972561060334556
45.0,0,0,0.6238703950075433
90.0,0,0,0.565358028979972
45.0,0,0,0.4295169009710662
0.0,0,0,0.5528362499899231
0.0,2,0,0.42759280902100727
45.0,0,0,0.5433157510124147
90.0,0,0,0.5654672760283574
90.0,2,0,0.6610703580081463
90.0,2,0,0.43797774700215086
0.0,2,0,0.5718374650459737
45.0,2,0,0.5755351430270821
90.0,0,0,0.5297404350130819
90.0,2,0,0.5941328720073216
0.0,2,0,0.4575479690101929
0.0,0,0,0.4153886900166981
0.0,2,0,0.49614773300709203
0.0,2,0,0.55124496598728
90.0,2,0,0.4463456009980291
45.0,2,0,0.6387215199647471
90.0,0,0,0.5661161710158922
90.0,0,0,0.49654838803689927
90.0,0,0,0.4807464850018732
45.0,2,0,0.5175472309929319
45.0,2,0,0.49705077102407813
90.0,2,0,0.4902647770359181
0.0,2,0,0.4371044869767502
45.0,0,0,0.7134288960369304
90.0,0,0,0.4767537980224006
90.0,0,0,0.4349205929902382
45.0,0,0,0.48330402304418385
90.0,2,0,0.716217672044877
45.0,0,0,0.4661509209545329
45.0,2,0,0.5646698850323446
0.0,0,0,0.38799973303684965
