Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.6787612910000007
0.0,0,0,0.40968320800004676
90.0,0,0,0.5868544999999585
90.0,0,0,0.5201283339999918
45.0,0,0,0.5682348750000301
90.0,0,0,0.825526249999939
0.0,2,0,0.5040771669999913
45.0,2,0,0.7502217499999233
0.0,0,0,0.6894808749999584
45.0,2,0,0.6193300000001045
90.0,0,0,0.7417641250000315
0.0,2,0,0.6723041249999824
45.0,0,0,0.6908359589999691
45.0,2,0,0.5251254590000372
45.0,2,0,0.37195362500006013
45.0,2,0,0.3663368329999912
0.0,2,0,0.5598939999999857
45.0,0,0,0.586353082999949
0.0,2,0,0.6703168750000259
0.0,0,0,0.6686567080000714
