Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,0,0.359504357
90,2,0,0.540958055
45,0,0,0.347323889
90,2,0,0.494997395
0,0,0,0.448068934
45,2,0,0.469189319
45,0,0,0.557290225
0,2,0,0.542120647
45,2,0,0.554192189
0,0,0,0.566204928
0,0,0,0.685853396
90,2,0,0.407688195
45,2,0,0.530818542
90,0,0,0.608671669
0,0,0,0.435609655
0,2,0,0.443847333
45,0,0,0.400865189
45,2,0,0.65154636
0,2,0,0.461817592
90,0,0,0.642095525
0,2,0,0.991567197
90,2,0,0.399929019
45,0,0,0.23437083
0,0,0,0.317974187
0,2,0,0.489678344
0,2,0,0.449353782
0,0,0,0.373518788
90,0,0,0.526051454
45,0,0,0.478996632
0,2,0,0.439879805
0,2,0,0.407301644
90,0,0,0.413419077
0,0,0,0.468216007
45,2,0,0.552506884
45,2,0,0.527972139
45,0,0,0.359031696
45,2,0,0.512215892
45,0,0,0.368803972
45,2,0,0.658118953
90,0,0,0.427448782
45,2,0,0.479483729
90,2,0,0.476280947
45,2,0,0.50963377
45,0,0,0.6714027
90,0,0,0.378620887
0,2,0,0.47062892
45,2,0,0.458531899
0,0,0,0.41156287
0,2,0,0.526447998
0,2,0,0.31020708
90,0,0,0.511039287
0,0,0,0.480545005
45,0,0,0.442895685
90,2,0,0.423931433
0,2,0,0.451076997
90,0,0,0.392952177
90,2,0,0.475796967
45,0,0,0.449709935
90,0,0,0.611279291
90,0,0,0.511729277
