Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.7090350830000034
45.0,2,0,0.5372310420000304
45.0,0,0,0.4568406670000513
45.0,2,0,0.46311120899997604
90.0,0,0,0.36705529200003184
45.0,0,0,0.682237500000042
90.0,2,0,0.800858250000033
45.0,2,0,0.5105913339999688
45.0,0,0,0.49613158299996485
90.0,0,0,0.4969610419999526
45.0,2,0,0.5128060829999868
90.0,2,0,0.5545552920000318
0.0,2,0,0.4508045000000038
0.0,2,0,0.4099460420000014
90.0,0,0,0.4701631249999991
45.0,0,0,0.5708436249999522
90.0,0,0,0.5402125840000735
90.0,2,0,0.7188420830000268
45.0,2,0,0.5428492089999963
45.0,0,0,0.3641229589999284
