Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,0,0.8237717499723658
90.0,0,0,0.5736202920088544
45.0,2,0,0.6003242079750635
90.0,0,0,0.5208790839533322
45.0,0,0,0.7714630829868838
90.0,0,0,0.6030527089606039
0.0,2,0,0.36408866598503664
45.0,0,0,0.7480158749967813
90.0,2,0,0.5400464160484262
90.0,2,0,0.6283242920180783
0.0,2,0,0.5584474999923259
90.0,2,0,0.6959300829912536
45.0,2,0,0.5164252090035006
90.0,0,0,0.5312749579898082
45.0,0,0,0.6659735410357825
90.0,2,0,0.5662287080194801
0.0,0,0,0.6798082499881275
90.0,2,0,0.6724635839927942
45.0,0,0,0.6865144590265118
90.0,0,0,0.45464858296327293
