Angle of Rotation,Direction,Eccentricity,Reaction Time (s),,Subtract Delay/1000,Reaction Time (ms),Average,Standard Deviation
90,2,0,0.648736703,,0.605236703,605.236703,0.648833936,0.204551276
90,0,0,0.480423789,,0.436923789,436.923789,,
45,0,0,0.708741046,,0.665241046,665.241046,,
90,2,0,0.608348564,,0.564848564,564.848564,,
0,2,0,0.449466533,,0.405966533,405.966533,,
45,0,0,0.681071368,,0.637571368,637.571368,,
90,0,0,0.699714883,,0.656214883,656.214883,,
0,0,0,0.659889808,,0.616389808,616.389808,,
45,0,0,0.734873444,,0.691373444,691.373444,,
0,0,0,0.793993012,,0.750493012,750.493012,,
0,2,0,0.963002092,,0.919502092,919.502092,,
0,2,0,0.828882957,,0.785382957,785.382957,,
90,2,0,0.476768763,,0.433268763,433.268763,,
0,0,0,1.242983707,,1.199483707,1199.483707,,
90,2,0,0.562244999,,0.518744999,518.744999,,
45,0,0,0.379493034,,0.335993034,335.993034,,
90,0,0,0.975550245,,0.932050245,932.050245,,
45,2,0,0.593899597,,0.550399597,550.399597,,
90,2,0,0.783861732,,0.740361732,740.361732,,
90,2,0,0.574732445,,0.531232445,531.232445,,
